kernel,n_channels,n_qubits,mean,std,variance,min,max,shots_for_1sigma,subject
HS-overlap,4,2,0.9948487940738333,0.0052837138637481474,2.7917632193964374e-05,0.9517392610439337,0.9999078995751322,35819.656661863824,1
Fidelity,4,2,0.9931086472085214,0.006667641574075332,4.4457444160337766e-05,0.9606576220291573,0.9998994810105062,22493.420818197625,1
HS-RBF,4,2,0.38714519142781445,0.2762329195563251,0.0763046258466112,1.718963459622853e-05,0.9724073907778183,13.10536535504697,1
Bures-RBF,4,2,0.3920574125136125,0.28390889578120293,0.08060426110370195,0.0001934255081029457,0.9786020835656921,12.406292003761976,1
HS-overlap,8,3,0.992492305628257,0.009020624646221675,8.13716690080219e-05,0.9294367334137962,0.9997738537322913,12289.289530259193,1
Fidelity,8,3,0.989716849761564,0.009251546322867595,8.55911093641649e-05,0.9377050581646179,0.999617891031439,11683.45646444767,1
HS-RBF,8,3,0.37939046380512503,0.24246008845492173,0.05878689449356846,2.4056995658757154e-05,0.9606166971206165,17.01059408928982,1
Bures-RBF,8,3,0.3793355623679423,0.23351887677236524,0.054531065809027106,0.0002415475039033248,0.9509612161210015,18.338170823619944,1
HS-overlap,16,4,0.9921141770816437,0.008101589612415706,6.563575424800206e-05,0.9357295889349274,0.9994027395639119,15235.598515734888,1
Fidelity,16,4,0.9878347650028263,0.008882658646967783,7.890162463855152e-05,0.9399630903940442,0.9992868594641734,12674.010257469372,1
HS-RBF,16,4,0.3751790517640369,0.2316557121795769,0.05366436898542697,0.0002210135889546979,0.9143536169032551,18.63433818203581,1
Bures-RBF,16,4,0.37407774961780094,0.21015760294751967,0.04416621807664733,0.0019087897985746898,0.9293653442097717,22.641739400565637,1
HS-overlap,32,5,0.9833607301707409,0.01394929168576402,0.0001945827385345252,0.910612375972982,0.9976794376549117,5139.202004922796,1
Fidelity,32,5,0.9775573931018686,0.012814735250202028,0.00016421743953277045,0.9195804641117106,0.9945906255079481,6089.487224043855,1
HS-RBF,32,5,0.3573987396893296,0.20802429333035233,0.04327410661559247,0.0013455082614902527,0.8564986271331029,23.108507100633737,1
Bures-RBF,32,5,0.3609828931111568,0.169340132712879,0.028676080547215477,0.013222518508466176,0.7517220583933047,34.87226918453828,1
HS-overlap,64,6,0.9665865418665363,0.03712389078419526,0.0013781832669568573,0.7132692089212723,0.9948039218409908,725.5929047869539,1
Fidelity,64,6,0.9642320688345313,0.023843128047113703,0.00056849475507106,0.8107295590765483,0.9905000037377131,1759.0311802876759,1
HS-RBF,64,6,0.3627060299777057,0.1889067199659059,0.035685748848277195,2.6537445203878765e-06,0.8111132415471307,28.022390793917083,1
Bures-RBF,64,6,0.35751717012349293,0.1452145682178681,0.02108727082270187,0.0012934073053924287,0.7276467057400293,47.42197358813415,1
HS-overlap,4,2,0.9836111104427281,0.014634105699322995,0.0002141570496189578,0.8897770716769268,0.9997174356364241,4669.470380635451,2
