subject,direction,frame,pipeline,group,accuracy,auc,best,n_train,n_test
1,0train->1test,sensor,classical/TS+LR,classical,0.8472222222222222,0.9149305555555556,"{""clf__C"": 0.1}",144,144
1,0train->1test,sensor,classical/MDM,classical,0.7986111111111112,0.9052854938271606,{},144,144
1,0train->1test,sensor,control/riemann-kernel-SVM,control,0.875,0.9328703703703705,"{""C"": 1.0}",144,144
1,0train->1test,sensor,control/logeuclid-kernel-SVM,control,0.8402777777777778,0.9274691358024691,"{""C"": 10.0}",144,144
1,0train->1test,sensor,quantum/HS-overlap,quantum,0.5277777777777778,0.5142746913580247,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
1,0train->1test,sensor,quantum/Fidelity,quantum,0.5208333333333334,0.5144675925925926,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
1,0train->1test,sensor,quantum/HS-RBF,quantum,0.5833333333333334,0.5912422839506173,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
1,0train->1test,sensor,quantum/Bures-RBF,quantum,0.5763888888888888,0.595486111111111,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
1,0train->1test,sensor,quantum/QRE-RBF,quantum,0.5763888888888888,0.5954861111111112,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
1,1test->0train,sensor,classical/TS+LR,classical,0.7847222222222222,0.8952546296296295,"{""clf__C"": 0.1}",144,144
1,1test->0train,sensor,classical/MDM,classical,0.8263888888888888,0.9270833333333334,{},144,144
1,1test->0train,sensor,control/riemann-kernel-SVM,control,0.8263888888888888,0.9259259259259259,"{""C"": 1.0}",144,144
1,1test->0train,sensor,control/logeuclid-kernel-SVM,control,0.8402777777777778,0.9319058641975309,"{""C"": 1.0}",144,144
1,1test->0train,sensor,quantum/HS-overlap,quantum,0.5277777777777778,0.5200617283950617,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
1,1test->0train,sensor,quantum/Fidelity,quantum,0.5347222222222222,0.5171682098765432,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
1,1test->0train,sensor,quantum/HS-RBF,quantum,0.5486111111111112,0.5904706790123457,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
1,1test->0train,sensor,quantum/Bures-RBF,quantum,0.4722222222222222,0.5308641975308642,"{""C"": 10.0, ""gamma_mult"": 4.0}",144,144
1,1test->0train,sensor,quantum/QRE-RBF,quantum,0.4722222222222222,0.5326003086419753,"{""C"": 10.0, ""gamma_mult"": 4.0}",144,144
1,0train->1test,reference,classical/TS+LR,classical,0.8541666666666666,0.9157021604938271,"{""clf__C"": 0.1}",144,144
1,0train->1test,reference,classical/MDM,classical,0.8333333333333334,0.904513888888889,{},144,144
1,0train->1test,reference,control/riemann-kernel-SVM,control,0.875,0.9330632716049383,"{""C"": 1.0}",144,144
1,0train->1test,reference,control/logeuclid-kernel-SVM,control,0.875,0.9330632716049383,"{""C"": 1.0}",144,144
1,0train->1test,reference,quantum/HS-overlap,quantum,0.8541666666666666,0.9288194444444444,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
1,0train->1test,reference,quantum/Fidelity,quantum,0.8680555555555556,0.9342206790123456,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
1,0train->1test,reference,quantum/HS-RBF,quantum,0.8611111111111112,0.9230324074074074,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
1,0train->1test,reference,quantum/Bures-RBF,quantum,0.8680555555555556,0.9274691358024691,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
1,0train->1test,reference,quantum/QRE-RBF,quantum,0.8680555555555556,0.9278549382716049,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
1,1test->0train,reference,classical/TS+LR,classical,0.7916666666666666,0.8952546296296295,"{""clf__C"": 0.1}",144,144
1,1test->0train,reference,classical/MDM,classical,0.8402777777777778,0.9268904320987654,{},144,144
1,1test->0train,reference,control/riemann-kernel-SVM,control,0.8541666666666666,0.9261188271604939,"{""C"": 1.0}",144,144
1,1test->0train,reference,control/logeuclid-kernel-SVM,control,0.8541666666666666,0.9261188271604939,"{""C"": 1.0}",144,144
1,1test->0train,reference,quantum/HS-overlap,quantum,0.8263888888888888,0.927662037037037,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
1,1test->0train,reference,quantum/Fidelity,quantum,0.8611111111111112,0.9313271604938272,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
1,1test->0train,reference,quantum/HS-RBF,quantum,0.8194444444444444,0.9157021604938271,"{""C"": 0.1, ""gamma_mult"": 4.0}",144,144
1,1test->0train,reference,quantum/Bures-RBF,quantum,0.8402777777777778,0.9230324074074074,"{""C"": 0.1, ""gamma_mult"": 4.0}",144,144
1,1test->0train,reference,quantum/QRE-RBF,quantum,0.8263888888888888,0.9224537037037037,"{""C"": 0.1, ""gamma_mult"": 4.0}",144,144
2,0train->1test,sensor,classical/TS+LR,classical,0.5625,0.6234567901234568,"{""clf__C"": 0.1}",144,144
2,0train->1test,sensor,classical/MDM,classical,0.5555555555555556,0.5543981481481481,{},144,144
2,0train->1test,sensor,control/riemann-kernel-SVM,control,0.5416666666666666,0.6298225308641976,"{""C"": 10.0}",144,144
2,0train->1test,sensor,control/logeuclid-kernel-SVM,control,0.5347222222222222,0.6149691358024691,"{""C"": 10.0}",144,144
2,0train->1test,sensor,quantum/HS-overlap,quantum,0.4861111111111111,0.5574845679012346,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
2,0train->1test,sensor,quantum/Fidelity,quantum,0.4791666666666667,0.5582561728395062,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
2,0train->1test,sensor,quantum/HS-RBF,quantum,0.4583333333333333,0.44232253086419754,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
2,0train->1test,sensor,quantum/Bures-RBF,quantum,0.4513888888888889,0.4732831790123457,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
2,0train->1test,sensor,quantum/QRE-RBF,quantum,0.4513888888888889,0.4692322530864197,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
2,1test->0train,sensor,classical/TS+LR,classical,0.6111111111111112,0.607445987654321,"{""clf__C"": 10.0}",144,144
2,1test->0train,sensor,classical/MDM,classical,0.5,0.5183256172839505,{},144,144
2,1test->0train,sensor,control/riemann-kernel-SVM,control,0.6388888888888888,0.6134259259259259,"{""C"": 1.0}",144,144
2,1test->0train,sensor,control/logeuclid-kernel-SVM,control,0.5763888888888888,0.5933641975308642,"{""C"": 1.0}",144,144
2,1test->0train,sensor,quantum/HS-overlap,quantum,0.5,0.5576774691358025,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
2,1test->0train,sensor,quantum/Fidelity,quantum,0.5,0.5578703703703703,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
2,1test->0train,sensor,quantum/HS-RBF,quantum,0.5,0.39081790123456794,"{""C"": 0.1, ""gamma_mult"": 0.25}",144,144
2,1test->0train,sensor,quantum/Bures-RBF,quantum,0.5,0.3894675925925926,"{""C"": 0.1, ""gamma_mult"": 0.25}",144,144
2,1test->0train,sensor,quantum/QRE-RBF,quantum,0.5,0.3879243827160494,"{""C"": 0.1, ""gamma_mult"": 0.25}",144,144
2,0train->1test,reference,classical/TS+LR,classical,0.5555555555555556,0.6165123456790124,"{""clf__C"": 0.1}",144,144
2,0train->1test,reference,classical/MDM,classical,0.5763888888888888,0.5611496913580246,{},144,144
