n,mean,sd,ci_low,ci_high,p_tost,equivalent,dz,setting,kernel,twin,bound
30,0.008148148148148139,0.03978800071264603,-0.004194755465412321,0.0204910517617086,0.056796326987000406,False,0.20478908219076133,"PhysioNet, 3 qubits",Fidelity,control/riemann-kernel-SVM,0.0204910517617086
30,-0.000493827160493826,0.04042877579213639,-0.013035509926121791,0.01204785560513414,0.006562002558030474,True,-0.012214744345285813,"PhysioNet, 3 qubits",HS overlap,control/riemann-kernel-SVM,0.013035509926121791
30,-0.015061728395061726,0.053644732085097076,-0.03170322195196665,0.0015797651618431954,0.30896284255632134,False,-0.28076807935528847,"PhysioNet, 3 qubits",HS-RBF,control/riemann-kernel-SVM,0.03170322195196665
30,-0.010864197530864185,0.04715984745210202,-0.025493971359799035,0.003765576298070665,0.1487126421338075,False,-0.23036964956043224,"PhysioNet, 3 qubits",Bures-RBF,control/riemann-kernel-SVM,0.025493971359799035
30,-0.012098765432098767,0.04718992793843625,-0.026737870731246307,0.002540339867048772,0.18333298876295206,False,-0.25638448628026633,"PhysioNet, 3 qubits",QRE-RBF,control/riemann-kernel-SVM,0.026737870731246307
30,0.0111111111111111,0.050418052707211815,-0.004529412509135442,0.02675163473135764,0.1711005740157639,False,0.22037961631790198,"PhysioNet, 5 qubits",Fidelity,control/FB-logeuclid-kernel-SVM,0.02675163473135764
30,0.0022222222222222235,0.05481930187702911,-0.014783642538803269,0.019228086983247714,0.04309276336890939,True,0.0405372222216022,"PhysioNet, 5 qubits",HS overlap,control/FB-logeuclid-kernel-SVM,0.019228086983247714
30,0.0,0.05117234009968287,-0.01587451619125891,0.01587451619125891,0.020417769244496044,True,0.0,"PhysioNet, 5 qubits",HS-RBF,control/FB-logeuclid-kernel-SVM,0.01587451619125891
30,0.0017283950617283939,0.04125110876219376,-0.011068389151719869,0.014525179275176657,0.010857029322473635,True,0.04189936012853189,"PhysioNet, 5 qubits",Bures-RBF,control/FB-logeuclid-kernel-SVM,0.014525179275176657
30,0.0014814814814814725,0.04517911313178343,-0.012533835416673413,0.015496798379636358,0.016278781711802966,True,0.032791291789197444,"PhysioNet, 5 qubits",QRE-RBF,control/FB-logeuclid-kernel-SVM,0.015496798379636358
30,0.0007407407407407344,0.033768971090968145,-0.009734959164744927,0.011216440646226396,0.0020141502561426324,True,0.0219355436902504,Transfer (LOSO),Fidelity,control/riemann-kernel-SVM,0.011216440646226396
30,0.01185185185185186,0.03770031875648871,0.00015658211531677235,0.023547121588386948,0.1230546195498923,False,0.3143700701419668,Transfer (LOSO),HS overlap,control/riemann-kernel-SVM,0.023547121588386948
30,1.1102230246251566e-17,0.04951875684721383,-0.01536154699610816,0.01536154699610818,0.017493214122766717,True,2.2420252351056816e-16,Transfer (LOSO),HS-RBF,control/riemann-kernel-SVM,0.01536154699610818
30,0.005185185185185195,0.04235845468295051,-0.007955116262654435,0.018325486633024825,0.032658090111497985,True,0.12241204793696729,Transfer (LOSO),Bures-RBF,control/riemann-kernel-SVM,0.018325486633024825
30,0.00666666666666668,0.04333873627777012,-0.0067777345354277565,0.020111067868761115,0.051352286534095945,False,0.15382697418628322,Transfer (LOSO),QRE-RBF,control/riemann-kernel-SVM,0.020111067868761115
9,0.0015594541910331555,0.010466140264374568,-0.00492797600531902,0.008046884387385331,0.0003705077995794334,True,0.1489999323190176,"BCI IV-2a, 3 qubits",Fidelity,control/riemann-kernel-SVM,0.008046884387385331
9,-0.003331764916761854,0.012262989567829128,-0.0109329709784351,0.0042694411449113925,0.001772723456360372,True,-0.2716927139449295,"BCI IV-2a, 3 qubits",HS overlap,control/riemann-kernel-SVM,0.0109329709784351
9,-0.0027917814971656105,0.008970111048288303,-0.00835189896256777,0.002768335968236549,0.00021322715583960017,True,-0.311231542411991,"BCI IV-2a, 3 qubits",HS-RBF,control/riemann-kernel-SVM,0.00835189896256777
9,-0.0007730053102103815,0.010605654498014918,-0.00734691331302003,0.005800902692599266,0.0003084629591606178,True,-0.07288614864410928,"BCI IV-2a, 3 qubits",Bures-RBF,control/riemann-kernel-SVM,0.00734691331302003
9,-0.0019022652416481477,0.00996046623491258,-0.008076253721629553,0.004271723238333258,0.00030403901338475596,True,-0.1909815461228601,"BCI IV-2a, 3 qubits",QRE-RBF,control/riemann-kernel-SVM,0.008076253721629553
