subject,frame,kernel,mean,std,min,var
2,sensor,HS-overlap,0.9776002252098509,0.018091947286429485,0.8854776289501433,0.00032731855661494326
2,sensor,Fidelity,0.9835158862849077,0.01346216609805829,0.9172329795048466,0.00018122991605170995
2,sensor,Bures-d2,0.016599542428040057,0.013644414350592403,0.000496474227779764,0.0001861700429706519
2,sensor,QRE-div,0.036841753341382615,0.029670972169274782,0.0011726526009562255,0.0008803665894698787
2,reference,HS-overlap,0.8577263969159714,0.0640252054020603,0.5588776513339131,0.004099226926776011
2,reference,Fidelity,0.9236230287050988,0.035753904474301976,0.7525038889161775,0.001278341685157511
2,reference,Bures-d2,0.07826697665707673,0.03787217730290007,0.020661083089809962,0.0014343018136622995
2,reference,QRE-div,0.1607055775155523,0.07919227810494335,0.042783836364011396,0.006271416911450689
5,sensor,HS-overlap,0.9708305988333346,0.032727512000802955,0.8055343779949753,0.0010710900417627016
5,sensor,Fidelity,0.9841469602553636,0.018477533171898704,0.8941728204933296,0.00034141923211861695
5,sensor,Bures-d2,0.016005409043315044,0.018796384654256877,0.00012426344737903605,0.0003533040760707834
5,sensor,QRE-div,0.03265115875649673,0.0380205271826253,0.00026046024301806803,0.0014455604872447496
5,reference,HS-overlap,0.8942473203314244,0.05168299065152999,0.6572109130712651,0.002671131522686136
5,reference,Fidelity,0.9444155314426199,0.026604628379862758,0.8281290389115377,0.0007078062512305988
5,reference,Bures-d2,0.05657669838851294,0.027712750206107844,0.015733505789035984,0.0007679965239861304
5,reference,QRE-div,0.11544055299805049,0.057632656102899076,0.0316999461992733,0.00332152304947503
10,sensor,HS-overlap,0.9920063176858399,0.005612143903689255,0.9587660462586439,3.149615919571647e-05
10,sensor,Fidelity,0.9859804449178177,0.010315375876757854,0.931158451517105,0.00010640697947879787
10,sensor,Bures-d2,0.014096459235318753,0.010435825294264872,0.000894537471254786,0.00010890644957241852
10,sensor,QRE-div,0.0322741775391935,0.022337719650569625,0.0025214981157226646,0.0004989737191874444
10,reference,HS-overlap,0.8522280539164707,0.05822307043900018,0.6149275498161056,0.0033899259313447763
10,reference,Fidelity,0.9203901552611569,0.0326024510652442,0.7819605469938371,0.0010629198154616427
10,reference,Bures-d2,0.08156639115390184,0.03425068604221857,0.02139873537310999,0.001173109494362626
10,reference,QRE-div,0.16741513903351246,0.07102830998097533,0.04396179375239617,0.00504502081875352
