kernel,n_qubits,n_channels,variance,mean,std,n_subjects
Bures-RBF,2,4,0.07757755115375195,0.45816103625947496,0.26148447039374356,104
Bures-RBF,3,8,0.06990392394287968,0.4080346061560998,0.2547164501688763,104
Bures-RBF,4,16,0.06327647798223487,0.39067054011357355,0.2446597885606993,104
Bures-RBF,5,32,0.04519905468838208,0.3744399674017606,0.20591052933472503,104
Bures-RBF,6,64,0.03643241362548361,0.3685724264342007,0.18420010632199874,104
Fidelity,2,4,0.00029916544860081437,0.9868195131996883,0.013828650300359154,104
Fidelity,3,8,0.0003427043538314312,0.9828191152255454,0.01542827299148436,104
Fidelity,4,16,0.0009313946881631343,0.9769493943749694,0.019528325847434976,104
Fidelity,5,32,0.0009369090306082602,0.9646359633697673,0.023228140574399682,104
Fidelity,6,64,0.002132653000687907,0.9445170660724165,0.032874746503319355,104
HS-RBF,2,4,0.07681821864559026,0.4573896304491648,0.2603970585806933,104
HS-RBF,3,8,0.07275997206157411,0.40897350713189284,0.26097517918504987,104
HS-RBF,4,16,0.06914228395243369,0.3927297565271531,0.2571354877282826,104
HS-RBF,5,32,0.055504217664790995,0.3774973358597575,0.2307071344295977,104
HS-RBF,6,64,0.05009333618047243,0.37314389325025765,0.21974117939015086,104
HS-overlap,2,4,0.0004338035114673402,0.9867836104872298,0.01490506229743553,104
HS-overlap,3,8,0.00044319164744063285,0.9840319077181363,0.016004409556711233,104
HS-overlap,4,16,0.0013225953104464027,0.9793864692857382,0.019476621041660598,104
HS-overlap,5,32,0.0013022186082239616,0.9668012960707272,0.024804036513816484,104
HS-overlap,6,64,0.003687788733265786,0.9384622769397614,0.04323123696085628,104
IQP-entangled,2,2,0.07475599013909386,0.44708471692958124,0.27285252469338966,104
IQP-entangled,3,3,0.03671968866130114,0.18843065988328614,0.1903595872971899,104
IQP-entangled,4,4,0.016194840146912682,0.10454382963379517,0.12567024300499743,104
IQP-entangled,5,5,0.0062327769680658,0.053651658176530545,0.07761965374868317,104
IQP-entangled,6,6,0.0024767053291312067,0.028811935899900925,0.048709744905540545,104
IQP-product,2,2,0.09395717536964696,0.49073715969209775,0.3054377832826604,104
IQP-product,3,3,0.07578480484468388,0.36151259397696234,0.2744826914504804,104
IQP-product,4,4,0.05597212045687568,0.26569232822859845,0.23573129208187177,104
IQP-product,5,5,0.039274839276955374,0.19440864664592972,0.19710977561455303,104
IQP-product,6,6,0.02651807892575212,0.1416375670890022,0.1617058557019866,104
