subject,frame,pipeline,group,accuracy,auc,best
19,sensor,classical/TS+LR,classical,0.6222222222222222,0.7015810276679841,"{""clf__C"": 0.1}"
19,sensor,classical/MDM,classical,0.4888888888888889,0.7292490118577076,{}
19,sensor,control/riemann-kernel-SVM,control,0.6666666666666666,0.7213438735177866,"{""C"": 10.0}"
19,sensor,control/logeuclid-kernel-SVM,control,0.5555555555555556,0.7312252964426877,"{""C"": 1.0}"
19,sensor,quantum/HS-overlap,quantum,0.6888888888888889,0.782608695652174,"{""C"": 10.0, ""gamma_mult"": 1.0}"
19,sensor,quantum/Fidelity,quantum,0.6444444444444445,0.7549407114624507,"{""C"": 10.0, ""gamma_mult"": 1.0}"
19,sensor,quantum/HS-RBF,quantum,0.6666666666666666,0.7786561264822134,"{""C"": 10.0, ""gamma_mult"": 0.25}"
19,sensor,quantum/Bures-RBF,quantum,0.6444444444444445,0.7549407114624506,"{""C"": 10.0, ""gamma_mult"": 0.25}"
19,sensor,quantum/QRE-RBF,quantum,0.6222222222222222,0.7509881422924901,"{""C"": 10.0, ""gamma_mult"": 0.25}"
20,sensor,classical/TS+LR,classical,0.6444444444444445,0.6561264822134387,"{""clf__C"": 0.1}"
20,sensor,classical/MDM,classical,0.5111111111111111,0.5928853754940713,{}
20,sensor,control/riemann-kernel-SVM,control,0.6222222222222222,0.6561264822134387,"{""C"": 10.0}"
20,sensor,control/logeuclid-kernel-SVM,control,0.6666666666666666,0.6541501976284586,"{""C"": 1.0}"
20,sensor,quantum/HS-overlap,quantum,0.5111111111111111,0.5098814229249012,"{""C"": 10.0, ""gamma_mult"": 1.0}"
20,sensor,quantum/Fidelity,quantum,0.5111111111111111,0.5632411067193676,"{""C"": 10.0, ""gamma_mult"": 1.0}"
20,sensor,quantum/HS-RBF,quantum,0.5111111111111111,0.458498023715415,"{""C"": 10.0, ""gamma_mult"": 0.25}"
20,sensor,quantum/Bures-RBF,quantum,0.5111111111111111,0.43280632411067194,"{""C"": 10.0, ""gamma_mult"": 0.25}"
20,sensor,quantum/QRE-RBF,quantum,0.5111111111111111,0.4545454545454546,"{""C"": 10.0, ""gamma_mult"": 0.25}"
21,sensor,classical/TS+LR,classical,0.5111111111111111,0.7301587301587302,"{""clf__C"": 1.0}"
21,sensor,classical/MDM,classical,0.6,0.7559523809523808,{}
21,sensor,control/riemann-kernel-SVM,control,0.5111111111111111,0.7142857142857143,"{""C"": 10.0}"
21,sensor,control/logeuclid-kernel-SVM,control,0.5333333333333333,0.751984126984127,"{""C"": 1.0}"
21,sensor,quantum/HS-overlap,quantum,0.6,0.7361111111111112,"{""C"": 10.0, ""gamma_mult"": 1.0}"
21,sensor,quantum/Fidelity,quantum,0.5555555555555556,0.7341269841269841,"{""C"": 10.0, ""gamma_mult"": 1.0}"
21,sensor,quantum/HS-RBF,quantum,0.5555555555555556,0.7103174603174603,"{""C"": 1.0, ""gamma_mult"": 1.0}"
21,sensor,quantum/Bures-RBF,quantum,0.6222222222222222,0.7261904761904762,"{""C"": 10.0, ""gamma_mult"": 0.25}"
21,sensor,quantum/QRE-RBF,quantum,0.6,0.6964285714285715,"{""C"": 10.0, ""gamma_mult"": 0.25}"
22,sensor,classical/TS+LR,classical,0.6,0.6067193675889329,"{""clf__C"": 0.1}"
22,sensor,classical/MDM,classical,0.5111111111111111,0.6264822134387351,{}
22,sensor,control/riemann-kernel-SVM,control,0.5777777777777777,0.6007905138339922,"{""C"": 0.1}"
22,sensor,control/logeuclid-kernel-SVM,control,0.5333333333333333,0.5474308300395256,"{""C"": 1.0}"
22,sensor,quantum/HS-overlap,quantum,0.6444444444444445,0.6304347826086956,"{""C"": 10.0, ""gamma_mult"": 1.0}"
22,sensor,quantum/Fidelity,quantum,0.6444444444444445,0.6442687747035573,"{""C"": 10.0, ""gamma_mult"": 1.0}"
22,sensor,quantum/HS-RBF,quantum,0.6,0.5988142292490118,"{""C"": 1.0, ""gamma_mult"": 1.0}"
22,sensor,quantum/Bures-RBF,quantum,0.5777777777777777,0.6245059288537549,"{""C"": 10.0, ""gamma_mult"": 0.25}"
22,sensor,quantum/QRE-RBF,quantum,0.5777777777777777,0.6324110671936759,"{""C"": 10.0, ""gamma_mult"": 0.25}"
23,sensor,classical/TS+LR,classical,0.6888888888888889,0.8715415019762845,"{""clf__C"": 1.0}"
23,sensor,classical/MDM,classical,0.5111111111111111,0.8379446640316206,{}
23,sensor,control/riemann-kernel-SVM,control,0.7111111111111111,0.8794466403162056,"{""C"": 0.1}"
23,sensor,control/logeuclid-kernel-SVM,control,0.6222222222222222,0.8557312252964426,"{""C"": 1.0}"
23,sensor,quantum/HS-overlap,quantum,0.5777777777777777,0.7509881422924901,"{""C"": 10.0, ""gamma_mult"": 1.0}"
23,sensor,quantum/Fidelity,quantum,0.6666666666666666,0.7588932806324111,"{""C"": 10.0, ""gamma_mult"": 1.0}"
23,sensor,quantum/HS-RBF,quantum,0.7111111111111111,0.7529644268774703,"{""C"": 10.0, ""gamma_mult"": 1.0}"
23,sensor,quantum/Bures-RBF,quantum,0.6888888888888889,0.7845849802371541,"{""C"": 10.0, ""gamma_mult"": 0.25}"
23,sensor,quantum/QRE-RBF,quantum,0.7333333333333333,0.7786561264822135,"{""C"": 10.0, ""gamma_mult"": 0.25}"
24,sensor,classical/TS+LR,classical,0.5555555555555556,0.6521739130434783,"{""clf__C"": 1.0}"
24,sensor,classical/MDM,classical,0.6,0.6561264822134387,{}
24,sensor,control/riemann-kernel-SVM,control,0.5555555555555556,0.6442687747035574,"{""C"": 10.0}"
24,sensor,control/logeuclid-kernel-SVM,control,0.6222222222222222,0.6660079051383399,"{""C"": 10.0}"
24,sensor,quantum/HS-overlap,quantum,0.5333333333333333,0.6640316205533596,"{""C"": 10.0, ""gamma_mult"": 1.0}"
24,sensor,quantum/Fidelity,quantum,0.5333333333333333,0.5909090909090909,"{""C"": 10.0, ""gamma_mult"": 1.0}"
24,sensor,quantum/HS-RBF,quantum,0.4888888888888889,0.6007905138339922,"{""C"": 1.0, ""gamma_mult"": 1.0}"
24,sensor,quantum/Bures-RBF,quantum,0.6222222222222222,0.5830039525691699,"{""C"": 10.0, ""gamma_mult"": 0.25}"
24,sensor,quantum/QRE-RBF,quantum,0.5777777777777777,0.598814229249012,"{""C"": 10.0, ""gamma_mult"": 0.25}"
25,sensor,classical/TS+LR,classical,0.5555555555555556,0.6225296442687748,"{""clf__C"": 10.0}"
25,sensor,classical/MDM,classical,0.5555555555555556,0.7391304347826088,{}
25,sensor,control/riemann-kernel-SVM,control,0.6,0.6679841897233201,"{""C"": 10.0}"
25,sensor,control/logeuclid-kernel-SVM,control,0.5555555555555556,0.5770750988142292,"{""C"": 10.0}"
25,sensor,quantum/HS-overlap,quantum,0.5555555555555556,0.6225296442687748,"{""C"": 10.0, ""gamma_mult"": 1.0}"
25,sensor,quantum/Fidelity,quantum,0.5111111111111111,0.557312252964427,"{""C"": 10.0, ""gamma_mult"": 1.0}"
25,sensor,quantum/HS-RBF,quantum,0.4666666666666667,0.5276679841897234,"{""C"": 1.0, ""gamma_mult"": 1.0}"
25,sensor,quantum/Bures-RBF,quantum,0.4666666666666667,0.5237154150197629,"{""C"": 10.0, ""gamma_mult"": 0.25}"
25,sensor,quantum/QRE-RBF,quantum,0.4666666666666667,0.5138339920948617,"{""C"": 10.0, ""gamma_mult"": 0.25}"
26,sensor,classical/TS+LR,classical,0.7111111111111111,0.8134920634920635,"{""clf__C"": 0.1}"
26,sensor,classical/MDM,classical,0.5555555555555556,0.6904761904761905,{}
26,sensor,control/riemann-kernel-SVM,control,0.7111111111111111,0.8134920634920635,"{""C"": 1.0}"
26,sensor,control/logeuclid-kernel-SVM,control,0.7555555555555555,0.8591269841269842,"{""C"": 1.0}"
26,sensor,quantum/HS-overlap,quantum,0.5777777777777777,0.5,"{""C"": 10.0, ""gamma_mult"": 1.0}"
26,sensor,quantum/Fidelity,quantum,0.5555555555555556,0.5277777777777778,"{""C"": 10.0, ""gamma_mult"": 1.0}"
26,sensor,quantum/HS-RBF,quantum,0.5111111111111111,0.5476190476190477,"{""C"": 10.0, ""gamma_mult"": 1.0}"
26,sensor,quantum/Bures-RBF,quantum,0.5111111111111111,0.5575396825396826,"{""C"": 10.0, ""gamma_mult"": 0.25}"
26,sensor,quantum/QRE-RBF,quantum,0.5333333333333333,0.5436507936507936,"{""C"": 10.0, ""gamma_mult"": 0.25}"
27,sensor,classical/TS+LR,classical,0.5111111111111111,0.5355731225296443,"{""clf__C"": 0.1}"
27,sensor,classical/MDM,classical,0.4888888888888889,0.6027667984189723,{}
27,sensor,control/riemann-kernel-SVM,control,0.4444444444444444,0.5316205533596838,"{""C"": 1.0}"
27,sensor,control/logeuclid-kernel-SVM,control,0.4666666666666667,0.5355731225296443,"{""C"": 1.0}"
27,sensor,quantum/HS-overlap,quantum,0.5555555555555556,0.598814229249012,"{""C"": 10.0, ""gamma_mult"": 1.0}"
27,sensor,quantum/Fidelity,quantum,0.5555555555555556,0.6205533596837944,"{""C"": 10.0, ""gamma_mult"": 1.0}"
