subject,frame,pipeline,group,accuracy,auc,best
57,reference,classical/TS+LR,classical,0.5333333333333333,0.6329365079365079,"{""clf__C"": 10.0}"
57,reference,classical/MDM,classical,0.5777777777777777,0.638888888888889,{}
57,reference,control/riemann-kernel-SVM,control,0.5555555555555556,0.6250000000000001,"{""C"": 1.0}"
57,reference,control/logeuclid-kernel-SVM,control,0.5555555555555556,0.6250000000000001,"{""C"": 1.0}"
57,reference,quantum/HS-overlap,quantum,0.5555555555555556,0.6309523809523809,"{""C"": 10.0, ""gamma_mult"": 1.0}"
57,reference,quantum/Fidelity,quantum,0.5777777777777777,0.6448412698412698,"{""C"": 10.0, ""gamma_mult"": 1.0}"
57,reference,quantum/HS-RBF,quantum,0.5555555555555556,0.6488095238095238,"{""C"": 1.0, ""gamma_mult"": 0.25}"
57,reference,quantum/Bures-RBF,quantum,0.5555555555555556,0.6388888888888888,"{""C"": 1.0, ""gamma_mult"": 0.25}"
57,reference,quantum/QRE-RBF,quantum,0.5555555555555556,0.6428571428571428,"{""C"": 1.0, ""gamma_mult"": 0.25}"
58,reference,classical/TS+LR,classical,0.6,0.6646825396825398,"{""clf__C"": 1.0}"
58,reference,classical/MDM,classical,0.5555555555555556,0.6547619047619048,{}
58,reference,control/riemann-kernel-SVM,control,0.6,0.6547619047619047,"{""C"": 10.0}"
58,reference,control/logeuclid-kernel-SVM,control,0.6,0.6547619047619047,"{""C"": 10.0}"
58,reference,quantum/HS-overlap,quantum,0.6222222222222222,0.6726190476190477,"{""C"": 1.0, ""gamma_mult"": 1.0}"
58,reference,quantum/Fidelity,quantum,0.6,0.6646825396825397,"{""C"": 10.0, ""gamma_mult"": 1.0}"
58,reference,quantum/HS-RBF,quantum,0.6222222222222222,0.6666666666666666,"{""C"": 1.0, ""gamma_mult"": 0.25}"
58,reference,quantum/Bures-RBF,quantum,0.6222222222222222,0.6805555555555556,"{""C"": 1.0, ""gamma_mult"": 0.25}"
58,reference,quantum/QRE-RBF,quantum,0.6,0.6865079365079365,"{""C"": 1.0, ""gamma_mult"": 0.25}"
59,reference,classical/TS+LR,classical,0.4,0.44246031746031744,"{""clf__C"": 1.0}"
59,reference,classical/MDM,classical,0.4666666666666667,0.4246031746031746,{}
59,reference,control/riemann-kernel-SVM,control,0.4444444444444444,0.43849206349206343,"{""C"": 10.0}"
59,reference,control/logeuclid-kernel-SVM,control,0.4444444444444444,0.44047619047619047,"{""C"": 10.0}"
59,reference,quantum/HS-overlap,quantum,0.4666666666666667,0.4543650793650794,"{""C"": 1.0, ""gamma_mult"": 1.0}"
59,reference,quantum/Fidelity,quantum,0.4444444444444444,0.42857142857142855,"{""C"": 10.0, ""gamma_mult"": 1.0}"
59,reference,quantum/HS-RBF,quantum,0.4666666666666667,0.4444444444444444,"{""C"": 1.0, ""gamma_mult"": 0.25}"
59,reference,quantum/Bures-RBF,quantum,0.4222222222222222,0.43452380952380953,"{""C"": 1.0, ""gamma_mult"": 0.25}"
59,reference,quantum/QRE-RBF,quantum,0.4222222222222222,0.4325396825396825,"{""C"": 1.0, ""gamma_mult"": 0.25}"
60,reference,classical/TS+LR,classical,0.8222222222222222,0.9071146245059288,"{""clf__C"": 0.1}"
60,reference,classical/MDM,classical,0.8444444444444444,0.9071146245059288,{}
60,reference,control/riemann-kernel-SVM,control,0.8444444444444444,0.9051383399209486,"{""C"": 0.1}"
60,reference,control/logeuclid-kernel-SVM,control,0.8444444444444444,0.9051383399209486,"{""C"": 0.1}"
60,reference,quantum/HS-overlap,quantum,0.8888888888888888,0.9110671936758894,"{""C"": 10.0, ""gamma_mult"": 1.0}"
60,reference,quantum/Fidelity,quantum,0.8444444444444444,0.9051383399209486,"{""C"": 10.0, ""gamma_mult"": 1.0}"
60,reference,quantum/HS-RBF,quantum,0.8888888888888888,0.9189723320158103,"{""C"": 1.0, ""gamma_mult"": 0.25}"
60,reference,quantum/Bures-RBF,quantum,0.8444444444444444,0.9209486166007905,"{""C"": 1.0, ""gamma_mult"": 0.25}"
60,reference,quantum/QRE-RBF,quantum,0.8666666666666667,0.9229249011857708,"{""C"": 1.0, ""gamma_mult"": 0.25}"
61,reference,classical/TS+LR,classical,0.7777777777777778,0.8636363636363636,"{""clf__C"": 1.0}"
61,reference,classical/MDM,classical,0.7333333333333333,0.8359683794466404,{}
61,reference,control/riemann-kernel-SVM,control,0.8,0.8616600790513834,"{""C"": 10.0}"
61,reference,control/logeuclid-kernel-SVM,control,0.8,0.8616600790513834,"{""C"": 10.0}"
61,reference,quantum/HS-overlap,quantum,0.8,0.8478260869565217,"{""C"": 10.0, ""gamma_mult"": 1.0}"
61,reference,quantum/Fidelity,quantum,0.8,0.8656126482213439,"{""C"": 10.0, ""gamma_mult"": 1.0}"
61,reference,quantum/HS-RBF,quantum,0.7777777777777778,0.8656126482213439,"{""C"": 1.0, ""gamma_mult"": 0.25}"
61,reference,quantum/Bures-RBF,quantum,0.8,0.8675889328063241,"{""C"": 1.0, ""gamma_mult"": 0.25}"
61,reference,quantum/QRE-RBF,quantum,0.8,0.8656126482213439,"{""C"": 1.0, ""gamma_mult"": 0.25}"
62,reference,classical/TS+LR,classical,0.9777777777777777,1.0,"{""clf__C"": 1.0}"
62,reference,classical/MDM,classical,0.9777777777777777,0.9960474308300395,{}
62,reference,control/riemann-kernel-SVM,control,0.9555555555555556,0.9980237154150198,"{""C"": 0.1}"
62,reference,control/logeuclid-kernel-SVM,control,0.9555555555555556,0.9980237154150198,"{""C"": 0.1}"
62,reference,quantum/HS-overlap,quantum,0.9333333333333333,0.9960474308300395,"{""C"": 10.0, ""gamma_mult"": 1.0}"
62,reference,quantum/Fidelity,quantum,0.9333333333333333,0.9960474308300395,"{""C"": 10.0, ""gamma_mult"": 1.0}"
62,reference,quantum/HS-RBF,quantum,0.9555555555555556,0.9940711462450593,"{""C"": 1.0, ""gamma_mult"": 0.25}"
62,reference,quantum/Bures-RBF,quantum,0.9777777777777777,0.9960474308300395,"{""C"": 1.0, ""gamma_mult"": 0.25}"
62,reference,quantum/QRE-RBF,quantum,0.9777777777777777,0.9940711462450593,"{""C"": 0.1, ""gamma_mult"": 1.0}"
63,reference,classical/TS+LR,classical,0.4888888888888889,0.5474308300395256,"{""clf__C"": 1.0}"
63,reference,classical/MDM,classical,0.5555555555555556,0.5632411067193676,{}
63,reference,control/riemann-kernel-SVM,control,0.5111111111111111,0.5513833992094861,"{""C"": 0.1}"
63,reference,control/logeuclid-kernel-SVM,control,0.5111111111111111,0.5513833992094861,"{""C"": 0.1}"
63,reference,quantum/HS-overlap,quantum,0.5111111111111111,0.5592885375494071,"{""C"": 10.0, ""gamma_mult"": 1.0}"
63,reference,quantum/Fidelity,quantum,0.5333333333333333,0.58300395256917,"{""C"": 10.0, ""gamma_mult"": 1.0}"
63,reference,quantum/HS-RBF,quantum,0.5111111111111111,0.5731225296442688,"{""C"": 1.0, ""gamma_mult"": 0.25}"
63,reference,quantum/Bures-RBF,quantum,0.5333333333333333,0.5731225296442688,"{""C"": 1.0, ""gamma_mult"": 0.25}"
63,reference,quantum/QRE-RBF,quantum,0.5111111111111111,0.5691699604743083,"{""C"": 1.0, ""gamma_mult"": 0.25}"
64,reference,classical/TS+LR,classical,0.6444444444444445,0.7569169960474309,"{""clf__C"": 0.1}"
64,reference,classical/MDM,classical,0.6222222222222222,0.7411067193675889,{}
64,reference,control/riemann-kernel-SVM,control,0.6444444444444445,0.7687747035573123,"{""C"": 0.1}"
64,reference,control/logeuclid-kernel-SVM,control,0.6444444444444445,0.7687747035573123,"{""C"": 0.1}"
64,reference,quantum/HS-overlap,quantum,0.6666666666666666,0.7786561264822134,"{""C"": 10.0, ""gamma_mult"": 1.0}"
64,reference,quantum/Fidelity,quantum,0.6444444444444445,0.766798418972332,"{""C"": 10.0, ""gamma_mult"": 1.0}"
64,reference,quantum/HS-RBF,quantum,0.6888888888888889,0.7924901185770751,"{""C"": 1.0, ""gamma_mult"": 0.25}"
64,reference,quantum/Bures-RBF,quantum,0.6444444444444445,0.782608695652174,"{""C"": 1.0, ""gamma_mult"": 0.25}"
64,reference,quantum/QRE-RBF,quantum,0.6666666666666666,0.7786561264822134,"{""C"": 1.0, ""gamma_mult"": 0.25}"
