kernel,n_qubits,n_channels,variance,mean,std,n_subjects
Bures-RBF,2,4,0.09509012535373815,0.4032836104518111,0.3063491848205609,10
Bures-RBF,3,8,0.07718260063274489,0.3932463195328758,0.27464461444182675,10
Bures-RBF,4,16,0.0654726451298516,0.38665247378004197,0.2529818812898693,10
Bures-RBF,5,32,0.04080752810394762,0.37458022420827264,0.19930583525022305,10
Bures-RBF,6,64,0.031711381395131896,0.3702562977877293,0.17135728575917036,10
Fidelity,2,4,0.0002642009616927165,0.9871375827798945,0.013984048026061516,10
Fidelity,3,8,0.00026300095892611115,0.9848876230842919,0.014325856252324737,10
Fidelity,4,16,0.0002810912297866256,0.9815938348939003,0.015310905616744596,10
Fidelity,5,32,0.0004740104435723172,0.9677874193841118,0.019748159749897153,10
Fidelity,6,64,0.0012476828514543185,0.946154974493931,0.0299937061043374,10
HS-RBF,2,4,0.09318082803613945,0.40278363740071654,0.30297732613949285,10
HS-RBF,3,8,0.080203974035709,0.39504461429150556,0.28050944251307947,10
HS-RBF,4,16,0.0730848112107838,0.3900965049368098,0.26803175396306606,10
HS-RBF,5,32,0.053469961598458585,0.37643742748701736,0.22947258463105422,10
HS-RBF,6,64,0.04631414709570737,0.3710463527243858,0.2102295303722777,10
HS-overlap,2,4,0.0005057689134889443,0.9843731648086036,0.016789306524049676,10
HS-overlap,3,8,0.00038966553660147753,0.9837798321709984,0.01570521161627794,10
HS-overlap,4,16,0.0002866089285621185,0.9830975536343924,0.01452079636229183,10
HS-overlap,5,32,0.0005204296621088907,0.9682531319636214,0.02062047298949933,10
HS-overlap,6,64,0.0035557936817446857,0.9284684861617277,0.049213725863287636,10
IQP-entangled,2,2,0.07823545516019083,0.43293380135753445,0.27884728079472737,10
IQP-entangled,3,3,0.03877021295279216,0.19739386735086623,0.1962480368285539,10
IQP-entangled,4,4,0.016730680752323857,0.10465744464236551,0.12776093479472017,10
IQP-entangled,5,5,0.00653101237461771,0.054385784663035175,0.07957301068934661,10
IQP-entangled,6,6,0.002725692074181086,0.030335643982327458,0.05117064818200191,10
IQP-product,2,2,0.09821427006435901,0.4804293859107568,0.3121199413006537,10
IQP-product,3,3,0.07806938564853516,0.34596471059676587,0.27871930616774254,10
IQP-product,4,4,0.05632781809590352,0.2501549633828266,0.23680980609631913,10
IQP-product,5,5,0.0384313169878755,0.1821400077835385,0.1954138965107882,10
IQP-product,6,6,0.026330961293963857,0.13798565700605145,0.1616934557561957,10
