kernel,shots,reference,sensor
HS-RBF,-1,0.6088888888888888,0.554320987654321
HS-RBF,100,0.48172839506172843,0.4918518518518519
HS-RBF,1000,0.5293827160493827,0.5037037037037037
HS-RBF,10000,0.5644444444444444,0.5111111111111112
HS-RBF,100000,0.5861728395061728,0.5380246913580247
HS-RBF,1000000,0.5901234567901236,0.5330864197530865
HS-overlap,-1,0.6180246913580247,0.5323456790123458
HS-overlap,100,0.49135802469135803,0.5096296296296295
HS-overlap,1000,0.5175308641975309,0.5069135802469136
HS-overlap,10000,0.5651851851851852,0.5320987654320988
HS-overlap,100000,0.5893827160493826,0.5382716049382716
HS-overlap,1000000,0.6071604938271605,0.5271604938271605
