pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
quantum/FB-Fidelity-ref-SVM,quantum,0.6483950617283951,0.15910602784145503,0.6916666666666667,0.19998227890839387,30,51.13788474666658
quantum/FB-HS-overlap-ref-SVM,quantum,0.6395061728395061,0.1551881976601243,0.6822222222222222,0.20107819209423883,30,42.372404260000074
quantum/FB-Bures-RBF-ref-SVM,quantum,0.6390123456790123,0.16670421978896643,0.6848888888888889,0.20373849464887092,30,85.55039188999996
quantum/FB-QRE-RBF-ref-SVM,quantum,0.6387654320987654,0.16614430226149493,0.6872222222222223,0.1992785519106269,30,66.31612815333325
quantum/FB-HS-RBF-ref-SVM,quantum,0.6372839506172839,0.16357117817058847,0.6788888888888889,0.20204383525992314,30,60.512476543333484
control/FB-logeuclid-kernel-SVM,control,0.6372839506172839,0.1489058952606598,0.6752222222222223,0.18037356581254801,30,41.81396098333341
control/FB-riemann-kernel-SVM,control,0.6303703703703704,0.15950528977899212,0.6764444444444444,0.19368167851552867,30,41.971357199999844
classical/FBCSP+LDA,classical,0.6271604938271604,0.14971500078811137,0.6572222222222223,0.18194581175819186,30,45.905844353333286
classical/FB-TS+LR,classical,0.622962962962963,0.15705474730852653,0.650888888888889,0.1880978251503963,30,50.55820568000001
classical/FB-TS+RBF-SVM,classical,0.6,0.15650745663938284,0.6326666666666667,0.18763378368942304,30,86.39920488666667
quantum/FB-QRE-RBF-SVM,quantum,0.5150617283950617,0.07173136619898207,0.5253888888888889,0.09981657827021238,30,51.27680178333318
quantum/FB-Bures-RBF-SVM,quantum,0.5098765432098765,0.06357477027171846,0.5272222222222223,0.09682342950256706,30,66.02977893666669
quantum/FB-HS-RBF-SVM,quantum,0.5046913580246913,0.06874119581182586,0.5145000000000001,0.09744450233072546,30,44.07617376666662
quantum/FB-Fidelity-SVM,quantum,0.49679012345679013,0.057572853781808965,0.48283333333333334,0.1150971187445412,30,43.11316526000001
quantum/FB-HS-overlap-SVM,quantum,0.4955555555555555,0.0679276236502874,0.4902222222222222,0.11430929787684961,30,36.15905634666663
