pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
classical/CSP+LDA,classical,0.6294159544159543,0.165101385086112,0.6638141025641026,0.20173969271800982,104,3.981784051922995
classical/TS+LR,classical,0.6178062678062678,0.17382185965628638,0.6505128205128206,0.20930757021537652,104,4.947116255769297
classical/TS+RBF-SVM,classical,0.6172364672364672,0.1663997777054448,0.6436217948717948,0.2120217115426235,104,13.102147299038451
control/PCA-matched-linear,control,0.6056267806267807,0.16383505395845868,0.6269230769230769,0.2100319451264787,104,5.095812845192268
classical/MDM,classical,0.6034188034188034,0.16438179082811197,0.6360576923076924,0.20217093839847125,104,0.48300605673079006
quantum/CNOT-kernel-SVM,quantum,0.6024928774928775,0.15635864193095653,0.6257692307692307,0.1901735032306285,104,19.05815289903842
control/PCA-matched-RBF,control,0.600997150997151,0.15912266854338325,0.6205769230769231,0.20294989699937954,104,14.158403802884537
control/IQP-no-entangle,control,0.600997150997151,0.1559883627819068,0.6268910256410257,0.1869832408154897,104,18.09478242211522
control/logeuclid-TS+LR,control,0.5948717948717949,0.14936243431982385,0.6293589743589744,0.18764714581319827,104,4.464792985577037
quantum/IQP-kernel-SVM,quantum,0.580982905982906,0.13551990470129185,0.6041666666666667,0.17206202313649938,104,21.44745044230753
classical/logvar+LDA,classical,0.5735042735042735,0.13106339088822005,0.608525641025641,0.1666192987206628,104,0.0893932625000208
quantum/Bures-RBF-SVM,quantum,0.565954415954416,0.12805701128395625,0.5859615384615384,0.16708792915221637,104,14.465565131730704
quantum/QRE-RBF-SVM,quantum,0.5648148148148148,0.12681224561949328,0.5861858974358974,0.16530065985561385,104,12.843754576923173
quantum/HS-RBF-SVM,quantum,0.5528490028490028,0.11659284979371089,0.5708653846153846,0.15611121336038525,104,10.89527080288447
quantum/Fidelity-SVM,quantum,0.5423076923076923,0.1119002211364025,0.582548076923077,0.15793707128479292,104,5.41448402019222
quantum/HS-overlap-SVM,quantum,0.5307692307692308,0.09838830255733781,0.5790064102564103,0.1429915242603197,104,3.901661318269142
