pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
quantum/Bures-RBF-ref-SVM,quantum,0.625925925925926,0.1622036180774681,0.6526666666666666,0.20338024708465313,30,24.531242463333303
control/riemann-kernel-SVM,control,0.625432098765432,0.1725243736646513,0.6502222222222223,0.21277933334765453,30,5.637574033333431
quantum/QRE-RBF-ref-SVM,quantum,0.6239506172839506,0.16045537738987448,0.650888888888889,0.20556796069019218,30,18.344866636666605
control/logeuclid-kernel-SVM,control,0.622716049382716,0.17582939701262343,0.6531111111111111,0.2129197379643673,30,5.625382673333343
quantum/HS-overlap-ref-SVM,quantum,0.6217283950617284,0.1612346917686957,0.6544444444444444,0.20118486825127344,30,5.673665456666716
quantum/HS-RBF-ref-SVM,quantum,0.6185185185185185,0.1612794733988308,0.6449999999999999,0.19797973889136802,30,16.42136575333337
quantum/Fidelity-ref-SVM,quantum,0.614074074074074,0.16754670455510298,0.6516666666666667,0.21397667004996246,30,9.339625699999942
classical/TS+LR,classical,0.6059259259259259,0.15656064031194655,0.6261111111111112,0.19482791961905946,30,5.912709786666665
classical/CSP+LDA,classical,0.6002469135802468,0.16125287969463828,0.634,0.19199776499337717,30,3.817997403333417
classical/TS+RBF-SVM,classical,0.5797530864197531,0.16305504577484095,0.6042222222222222,0.2069462945737452,30,16.06729428333336
control/logeuclid-TS+LR,control,0.568395061728395,0.14523226662955904,0.5922222222222222,0.19979171785543834,30,4.3192517400001025
control/PCA-matched-RBF,control,0.557283950617284,0.1398666590280907,0.5572222222222222,0.18991848086534863,30,16.304534253333305
control/PCA-matched-linear,control,0.5567901234567901,0.14759902488610233,0.5764444444444444,0.18604562809793473,30,5.847007846666581
classical/logvar+LDA,classical,0.554074074074074,0.12880636221135836,0.5698888888888889,0.17776924069540317,30,0.12549889666658293
control/IQP-no-entangle,control,0.5471604938271605,0.14197527162344273,0.5502222222222223,0.18029548614536461,30,19.088920476666665
quantum/Bures-RBF-SVM,quantum,0.5432098765432098,0.11363391110127259,0.5628888888888889,0.15556037212028578,30,17.65988257333332
quantum/HS-RBF-SVM,quantum,0.5432098765432098,0.09530550973441691,0.5567777777777778,0.14275205129226043,30,11.185692433333331
classical/MDM,classical,0.542469135802469,0.16137251685083062,0.5546666666666666,0.1934098144403202,30,0.5837923933332453
quantum/IQP-kernel-SVM,quantum,0.5419753086419753,0.13723651676169282,0.5431111111111111,0.16912878706944334,30,22.888959450000023
quantum/QRE-RBF-SVM,quantum,0.5412345679012346,0.1076240090741947,0.5691111111111111,0.1540262537539174,30,13.258200840000002
quantum/CNOT-kernel-SVM,quantum,0.5407407407407407,0.143713973115965,0.55,0.17848017372748462,30,20.884635963333206
quantum/Fidelity-SVM,quantum,0.5158024691358024,0.07767696034369198,0.5468888888888889,0.14326764956722074,30,6.716753609999917
quantum/HS-overlap-SVM,quantum,0.5155555555555555,0.07816542696040839,0.551,0.14020004864423816,30,4.037888223333251
