subject,pipeline,group,fold,accuracy,auc,best_params,fit_seconds_total
34,classical/logvar+LDA,classical,0,0.7777777777777778,0.75,{},0.08308370000008836
34,classical/logvar+LDA,classical,1,0.8888888888888888,0.95,{},0.08308370000008836
34,classical/logvar+LDA,classical,2,1.0,1.0,{},0.08308370000008836
34,classical/logvar+LDA,classical,3,0.6666666666666666,0.65,{},0.08308370000008836
34,classical/logvar+LDA,classical,4,0.7777777777777778,0.95,{},0.08308370000008836
34,classical/logvar+LDA,classical,5,0.7777777777777778,0.9,{},0.08308370000008836
34,classical/logvar+LDA,classical,6,1.0,1.0,{},0.08308370000008836
34,classical/logvar+LDA,classical,7,0.6666666666666666,0.9,{},0.08308370000008836
34,classical/logvar+LDA,classical,8,0.7777777777777778,0.9,{},0.08308370000008836
34,classical/logvar+LDA,classical,9,0.7777777777777778,0.95,{},0.08308370000008836
34,classical/logvar+LDA,classical,10,0.7777777777777778,0.9,{},0.08308370000008836
34,classical/logvar+LDA,classical,11,0.8888888888888888,0.95,{},0.08308370000008836
34,classical/logvar+LDA,classical,12,0.8888888888888888,1.0,{},0.08308370000008836
34,classical/logvar+LDA,classical,13,0.6666666666666666,0.75,{},0.08308370000008836
34,classical/logvar+LDA,classical,14,0.7777777777777778,0.85,{},0.08308370000008836
34,classical/CSP+LDA,classical,0,0.7777777777777778,0.9500000000000001,"{""csp__nfilter"": 4}",3.7377469000000474
34,classical/CSP+LDA,classical,1,1.0,1.0,"{""csp__nfilter"": 4}",3.7377469000000474
34,classical/CSP+LDA,classical,2,1.0,1.0,"{""csp__nfilter"": 6}",3.7377469000000474
34,classical/CSP+LDA,classical,3,0.8888888888888888,1.0,"{""csp__nfilter"": 4}",3.7377469000000474
34,classical/CSP+LDA,classical,4,0.6666666666666666,1.0,"{""csp__nfilter"": 2}",3.7377469000000474
34,classical/CSP+LDA,classical,5,0.8888888888888888,1.0,"{""csp__nfilter"": 4}",3.7377469000000474
34,classical/CSP+LDA,classical,6,0.8888888888888888,1.0,"{""csp__nfilter"": 6}",3.7377469000000474
34,classical/CSP+LDA,classical,7,1.0,1.0,"{""csp__nfilter"": 4}",3.7377469000000474
34,classical/CSP+LDA,classical,8,0.8888888888888888,1.0,"{""csp__nfilter"": 4}",3.7377469000000474
34,classical/CSP+LDA,classical,9,0.8888888888888888,1.0,"{""csp__nfilter"": 4}",3.7377469000000474
34,classical/CSP+LDA,classical,10,0.8888888888888888,1.0,"{""csp__nfilter"": 4}",3.7377469000000474
34,classical/CSP+LDA,classical,11,1.0,1.0,"{""csp__nfilter"": 4}",3.7377469000000474
34,classical/CSP+LDA,classical,12,1.0,1.0,"{""csp__nfilter"": 6}",3.7377469000000474
