subject,pipeline,group,fold,accuracy,auc,best_params,fit_seconds_total
67,classical/logvar+LDA,classical,0,0.5555555555555556,0.5,{},0.09460050000052433
67,classical/logvar+LDA,classical,1,0.1111111111111111,0.14999999999999997,{},0.09460050000052433
67,classical/logvar+LDA,classical,2,0.4444444444444444,0.3,{},0.09460050000052433
67,classical/logvar+LDA,classical,3,0.2222222222222222,0.2,{},0.09460050000052433
67,classical/logvar+LDA,classical,4,0.5555555555555556,0.6,{},0.09460050000052433
67,classical/logvar+LDA,classical,5,0.5555555555555556,0.24999999999999997,{},0.09460050000052433
67,classical/logvar+LDA,classical,6,0.3333333333333333,0.24999999999999997,{},0.09460050000052433
67,classical/logvar+LDA,classical,7,0.4444444444444444,0.35,{},0.09460050000052433
67,classical/logvar+LDA,classical,8,0.2222222222222222,0.2,{},0.09460050000052433
67,classical/logvar+LDA,classical,9,0.3333333333333333,0.1,{},0.09460050000052433
67,classical/logvar+LDA,classical,10,0.2222222222222222,0.3,{},0.09460050000052433
67,classical/logvar+LDA,classical,11,0.3333333333333333,0.19999999999999998,{},0.09460050000052433
67,classical/logvar+LDA,classical,12,0.5555555555555556,0.55,{},0.09460050000052433
67,classical/logvar+LDA,classical,13,0.5555555555555556,0.25,{},0.09460050000052433
67,classical/logvar+LDA,classical,14,0.2222222222222222,0.2,{},0.09460050000052433
67,classical/CSP+LDA,classical,0,0.4444444444444444,0.65,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,1,0.4444444444444444,0.14999999999999997,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,2,0.4444444444444444,0.4,"{""csp__nfilter"": 6}",3.8496226999995997
67,classical/CSP+LDA,classical,3,0.5555555555555556,0.65,"{""csp__nfilter"": 6}",3.8496226999995997
67,classical/CSP+LDA,classical,4,0.5555555555555556,0.7,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,5,0.6666666666666666,0.55,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,6,0.5555555555555556,0.49999999999999994,"{""csp__nfilter"": 4}",3.8496226999995997
67,classical/CSP+LDA,classical,7,0.4444444444444444,0.5,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,8,0.2222222222222222,0.3,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,9,0.6666666666666666,0.7,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,10,0.2222222222222222,0.15,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,11,0.4444444444444444,0.45,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,12,0.5555555555555556,0.75,"{""csp__nfilter"": 4}",3.8496226999995997
67,classical/CSP+LDA,classical,13,0.6666666666666666,0.65,"{""csp__nfilter"": 2}",3.8496226999995997
67,classical/CSP+LDA,classical,14,0.4444444444444444,0.5,"{""csp__nfilter"": 6}",3.8496226999995997
67,classical/MDM,classical,0,0.4444444444444444,0.55,{},0.4837539000000106
67,classical/MDM,classical,1,0.4444444444444444,0.25,{},0.4837539000000106
67,classical/MDM,classical,2,0.4444444444444444,0.45,{},0.4837539000000106
67,classical/MDM,classical,3,0.2222222222222222,0.15000000000000002,{},0.4837539000000106
67,classical/MDM,classical,4,0.5555555555555556,0.65,{},0.4837539000000106
67,classical/MDM,classical,5,0.6666666666666666,0.45,{},0.4837539000000106
67,classical/MDM,classical,6,0.5555555555555556,0.55,{},0.4837539000000106
67,classical/MDM,classical,7,0.4444444444444444,0.44999999999999996,{},0.4837539000000106
67,classical/MDM,classical,8,0.3333333333333333,0.3,{},0.4837539000000106
67,classical/MDM,classical,9,0.6666666666666666,0.65,{},0.4837539000000106
67,classical/MDM,classical,10,0.2222222222222222,0.3,{},0.4837539000000106
67,classical/MDM,classical,11,0.4444444444444444,0.39999999999999997,{},0.4837539000000106
67,classical/MDM,classical,12,0.5555555555555556,0.75,{},0.4837539000000106
67,classical/MDM,classical,13,0.6666666666666666,0.55,{},0.4837539000000106
67,classical/MDM,classical,14,0.2222222222222222,0.2,{},0.4837539000000106
67,classical/TS+LR,classical,0,0.5555555555555556,0.5499999999999999,"{""clf__C"": 10.0}",4.868568199999572
67,classical/TS+LR,classical,1,0.3333333333333333,0.19999999999999996,"{""clf__C"": 0.1}",4.868568199999572
67,classical/TS+LR,classical,2,0.3333333333333333,0.25,"{""clf__C"": 0.1}",4.868568199999572
67,classical/TS+LR,classical,3,0.4444444444444444,0.6000000000000001,"{""clf__C"": 0.1}",4.868568199999572
67,classical/TS+LR,classical,4,0.5555555555555556,0.65,"{""clf__C"": 0.1}",4.868568199999572
67,classical/TS+LR,classical,5,0.4444444444444444,0.35,"{""clf__C"": 0.1}",4.868568199999572
67,classical/TS+LR,classical,6,0.2222222222222222,0.4,"{""clf__C"": 10.0}",4.868568199999572
67,classical/TS+LR,classical,7,0.4444444444444444,0.35,"{""clf__C"": 0.1}",4.868568199999572
67,classical/TS+LR,classical,8,0.4444444444444444,0.4,"{""clf__C"": 10.0}",4.868568199999572
67,classical/TS+LR,classical,9,0.3333333333333333,0.2,"{""clf__C"": 10.0}",4.868568199999572
67,classical/TS+LR,classical,10,0.5555555555555556,0.19999999999999996,"{""clf__C"": 0.1}",4.868568199999572
