subject,pipeline,group,fold,accuracy,auc,best_params,fit_seconds_total
10,classical/logvar+LDA,classical,0,0.625,0.6725,{},0.11652069999945525
10,classical/logvar+LDA,classical,1,0.625,0.655,{},0.11652069999945525
10,classical/logvar+LDA,classical,2,0.725,0.8175,{},0.11652069999945525
10,classical/logvar+LDA,classical,3,0.675,0.7775000000000001,{},0.11652069999945525
10,classical/logvar+LDA,classical,4,0.575,0.5725,{},0.11652069999945525
10,classical/logvar+LDA,classical,5,0.6,0.6675,{},0.11652069999945525
10,classical/logvar+LDA,classical,6,0.6,0.675,{},0.11652069999945525
10,classical/logvar+LDA,classical,7,0.625,0.7024999999999999,{},0.11652069999945525
10,classical/logvar+LDA,classical,8,0.725,0.7625,{},0.11652069999945525
10,classical/logvar+LDA,classical,9,0.55,0.5549999999999999,{},0.11652069999945525
10,classical/logvar+LDA,classical,10,0.5,0.5725,{},0.11652069999945525
10,classical/logvar+LDA,classical,11,0.775,0.8,{},0.11652069999945525
10,classical/logvar+LDA,classical,12,0.525,0.595,{},0.11652069999945525
10,classical/logvar+LDA,classical,13,0.675,0.6675,{},0.11652069999945525
10,classical/logvar+LDA,classical,14,0.725,0.7549999999999999,{},0.11652069999945525
10,classical/CSP+LDA,classical,0,0.7,0.8,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,1,0.725,0.875,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,2,0.85,0.9,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,3,0.75,0.885,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,4,0.775,0.8274999999999999,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,5,0.8,0.8725,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,6,0.7,0.8025,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,7,0.85,0.905,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,8,0.825,0.9025,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,9,0.675,0.78,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,10,0.65,0.6625,"{""csp__nfilter"": 2}",8.844522500000494
10,classical/CSP+LDA,classical,11,0.725,0.8125,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,12,0.7,0.765,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,13,0.8,0.925,"{""csp__nfilter"": 6}",8.844522500000494
10,classical/CSP+LDA,classical,14,0.725,0.8574999999999999,"{""csp__nfilter"": 6}",8.844522500000494
