subject,pipeline,group,fold,accuracy,auc,best_params,fit_seconds_total
28,classical/logvar+LDA,classical,0,0.5,0.48250000000000004,{},0.14480860000003304
28,classical/logvar+LDA,classical,1,0.525,0.5125,{},0.14480860000003304
28,classical/logvar+LDA,classical,2,0.475,0.51,{},0.14480860000003304
28,classical/logvar+LDA,classical,3,0.55,0.5275000000000001,{},0.14480860000003304
28,classical/logvar+LDA,classical,4,0.525,0.5525,{},0.14480860000003304
28,classical/logvar+LDA,classical,5,0.5,0.465,{},0.14480860000003304
28,classical/logvar+LDA,classical,6,0.5,0.62,{},0.14480860000003304
28,classical/logvar+LDA,classical,7,0.475,0.495,{},0.14480860000003304
28,classical/logvar+LDA,classical,8,0.475,0.42750000000000005,{},0.14480860000003304
28,classical/logvar+LDA,classical,9,0.5,0.5499999999999999,{},0.14480860000003304
28,classical/logvar+LDA,classical,10,0.475,0.44,{},0.14480860000003304
28,classical/logvar+LDA,classical,11,0.575,0.5725,{},0.14480860000003304
28,classical/logvar+LDA,classical,12,0.575,0.5800000000000001,{},0.14480860000003304
28,classical/logvar+LDA,classical,13,0.625,0.675,{},0.14480860000003304
28,classical/logvar+LDA,classical,14,0.55,0.5675,{},0.14480860000003304
28,classical/CSP+LDA,classical,0,0.6,0.5599999999999999,"{""csp__nfilter"": 6}",10.382497200000216
28,classical/CSP+LDA,classical,1,0.5,0.43749999999999994,"{""csp__nfilter"": 2}",10.382497200000216
28,classical/CSP+LDA,classical,2,0.375,0.3725,"{""csp__nfilter"": 6}",10.382497200000216
28,classical/CSP+LDA,classical,3,0.575,0.5775,"{""csp__nfilter"": 2}",10.382497200000216
28,classical/CSP+LDA,classical,4,0.5,0.4975,"{""csp__nfilter"": 2}",10.382497200000216
28,classical/CSP+LDA,classical,5,0.425,0.3875,"{""csp__nfilter"": 2}",10.382497200000216
28,classical/CSP+LDA,classical,6,0.45,0.48,"{""csp__nfilter"": 6}",10.382497200000216
28,classical/CSP+LDA,classical,7,0.625,0.615,"{""csp__nfilter"": 6}",10.382497200000216
28,classical/CSP+LDA,classical,8,0.5,0.545,"{""csp__nfilter"": 6}",10.382497200000216
28,classical/CSP+LDA,classical,9,0.5,0.5225,"{""csp__nfilter"": 2}",10.382497200000216
28,classical/CSP+LDA,classical,10,0.425,0.40249999999999997,"{""csp__nfilter"": 4}",10.382497200000216
28,classical/CSP+LDA,classical,11,0.55,0.5525,"{""csp__nfilter"": 2}",10.382497200000216
28,classical/CSP+LDA,classical,12,0.5,0.5249999999999999,"{""csp__nfilter"": 4}",10.382497200000216
28,classical/CSP+LDA,classical,13,0.525,0.55,"{""csp__nfilter"": 2}",10.382497200000216
28,classical/CSP+LDA,classical,14,0.65,0.6625000000000001,"{""csp__nfilter"": 6}",10.382497200000216
28,classical/MDM,classical,0,0.575,0.5625,{},1.130124899999828
28,classical/MDM,classical,1,0.5,0.47750000000000004,{},1.130124899999828
28,classical/MDM,classical,2,0.5,0.49249999999999994,{},1.130124899999828
28,classical/MDM,classical,3,0.475,0.49249999999999994,{},1.130124899999828
28,classical/MDM,classical,4,0.525,0.5425,{},1.130124899999828
28,classical/MDM,classical,5,0.425,0.33999999999999997,{},1.130124899999828
28,classical/MDM,classical,6,0.5,0.5625,{},1.130124899999828
28,classical/MDM,classical,7,0.45,0.45249999999999996,{},1.130124899999828
28,classical/MDM,classical,8,0.525,0.5549999999999999,{},1.130124899999828
28,classical/MDM,classical,9,0.5,0.515,{},1.130124899999828
28,classical/MDM,classical,10,0.425,0.395,{},1.130124899999828
28,classical/MDM,classical,11,0.4,0.4525,{},1.130124899999828
28,classical/MDM,classical,12,0.475,0.48750000000000004,{},1.130124899999828
28,classical/MDM,classical,13,0.5,0.5475,{},1.130124899999828
28,classical/MDM,classical,14,0.6,0.62,{},1.130124899999828
28,classical/TS+LR,classical,0,0.6,0.605,"{""clf__C"": 0.1}",12.347697300000618
28,classical/TS+LR,classical,1,0.45,0.42,"{""clf__C"": 0.1}",12.347697300000618
28,classical/TS+LR,classical,2,0.625,0.5975,"{""clf__C"": 0.1}",12.347697300000618
28,classical/TS+LR,classical,3,0.575,0.5800000000000001,"{""clf__C"": 0.1}",12.347697300000618
28,classical/TS+LR,classical,4,0.475,0.5425,"{""clf__C"": 0.1}",12.347697300000618
28,classical/TS+LR,classical,5,0.55,0.5549999999999999,"{""clf__C"": 0.1}",12.347697300000618
28,classical/TS+LR,classical,6,0.575,0.5049999999999999,"{""clf__C"": 0.1}",12.347697300000618
28,classical/TS+LR,classical,7,0.5,0.6125,"{""clf__C"": 1.0}",12.347697300000618
28,classical/TS+LR,classical,8,0.55,0.6224999999999999,"{""clf__C"": 1.0}",12.347697300000618
28,classical/TS+LR,classical,9,0.525,0.515,"{""clf__C"": 1.0}",12.347697300000618
28,classical/TS+LR,classical,10,0.5,0.42500000000000004,"{""clf__C"": 0.1}",12.347697300000618
28,classical/TS+LR,classical,11,0.525,0.5675,"{""clf__C"": 1.0}",12.347697300000618
28,classical/TS+LR,classical,12,0.65,0.6199999999999999,"{""clf__C"": 0.1}",12.347697300000618
