subject,pipeline,group,fold,accuracy,auc,best_params,fit_seconds_total
46,classical/logvar+LDA,classical,0,0.6041666666666666,0.6649305555555556,{},0.1351983000004111
46,classical/logvar+LDA,classical,1,0.4583333333333333,0.5121527777777778,{},0.1351983000004111
46,classical/logvar+LDA,classical,2,0.6666666666666666,0.7100694444444444,{},0.1351983000004111
46,classical/logvar+LDA,classical,3,0.6458333333333334,0.6302083333333334,{},0.1351983000004111
46,classical/logvar+LDA,classical,4,0.4791666666666667,0.4756944444444444,{},0.1351983000004111
46,classical/logvar+LDA,classical,5,0.5833333333333334,0.6215277777777778,{},0.1351983000004111
46,classical/logvar+LDA,classical,6,0.5208333333333334,0.5052083333333334,{},0.1351983000004111
46,classical/logvar+LDA,classical,7,0.5,0.5017361111111112,{},0.1351983000004111
46,classical/logvar+LDA,classical,8,0.6875,0.795138888888889,{},0.1351983000004111
46,classical/logvar+LDA,classical,9,0.6458333333333334,0.736111111111111,{},0.1351983000004111
46,classical/logvar+LDA,classical,10,0.625,0.7013888888888888,{},0.1351983000004111
46,classical/logvar+LDA,classical,11,0.5625,0.6076388888888888,{},0.1351983000004111
46,classical/logvar+LDA,classical,12,0.5625,0.5694444444444444,{},0.1351983000004111
46,classical/logvar+LDA,classical,13,0.6041666666666666,0.6475694444444444,{},0.1351983000004111
46,classical/logvar+LDA,classical,14,0.4791666666666667,0.5659722222222222,{},0.1351983000004111
46,classical/CSP+LDA,classical,0,0.7291666666666666,0.7760416666666666,"{""csp__nfilter"": 4}",11.581159200000911
46,classical/CSP+LDA,classical,1,0.4583333333333333,0.47048611111111116,"{""csp__nfilter"": 2}",11.581159200000911
46,classical/CSP+LDA,classical,2,0.6875,0.7795138888888888,"{""csp__nfilter"": 6}",11.581159200000911
46,classical/CSP+LDA,classical,3,0.6666666666666666,0.7482638888888888,"{""csp__nfilter"": 6}",11.581159200000911
46,classical/CSP+LDA,classical,4,0.6041666666666666,0.6701388888888888,"{""csp__nfilter"": 6}",11.581159200000911
46,classical/CSP+LDA,classical,5,0.625,0.5989583333333333,"{""csp__nfilter"": 6}",11.581159200000911
46,classical/CSP+LDA,classical,6,0.625,0.717013888888889,"{""csp__nfilter"": 6}",11.581159200000911
46,classical/CSP+LDA,classical,7,0.6875,0.7065972222222222,"{""csp__nfilter"": 6}",11.581159200000911
46,classical/CSP+LDA,classical,8,0.6458333333333334,0.7638888888888888,"{""csp__nfilter"": 4}",11.581159200000911
46,classical/CSP+LDA,classical,9,0.7083333333333334,0.7690972222222222,"{""csp__nfilter"": 6}",11.581159200000911
46,classical/CSP+LDA,classical,10,0.7083333333333334,0.7343749999999999,"{""csp__nfilter"": 6}",11.581159200000911
46,classical/CSP+LDA,classical,11,0.5833333333333334,0.6614583333333334,"{""csp__nfilter"": 6}",11.581159200000911
46,classical/CSP+LDA,classical,12,0.5833333333333334,0.6232638888888888,"{""csp__nfilter"": 2}",11.581159200000911
46,classical/CSP+LDA,classical,13,0.7083333333333334,0.7204861111111112,"{""csp__nfilter"": 4}",11.581159200000911
46,classical/CSP+LDA,classical,14,0.5833333333333334,0.6597222222222222,"{""csp__nfilter"": 4}",11.581159200000911
46,classical/MDM,classical,0,0.5833333333333334,0.640625,{},1.4137668999992457
46,classical/MDM,classical,1,0.5208333333333334,0.5694444444444444,{},1.4137668999992457
46,classical/MDM,classical,2,0.7083333333333334,0.7534722222222222,{},1.4137668999992457
46,classical/MDM,classical,3,0.6666666666666666,0.7465277777777778,{},1.4137668999992457
46,classical/MDM,classical,4,0.5,0.42361111111111105,{},1.4137668999992457
46,classical/MDM,classical,5,0.5625,0.5972222222222222,{},1.4137668999992457
46,classical/MDM,classical,6,0.5833333333333334,0.53125,{},1.4137668999992457
46,classical/MDM,classical,7,0.5208333333333334,0.5295138888888888,{},1.4137668999992457
46,classical/MDM,classical,8,0.6666666666666666,0.7274305555555556,{},1.4137668999992457
46,classical/MDM,classical,9,0.625,0.767361111111111,{},1.4137668999992457
46,classical/MDM,classical,10,0.6458333333333334,0.6666666666666666,{},1.4137668999992457
46,classical/MDM,classical,11,0.625,0.5850694444444444,{},1.4137668999992457
46,classical/MDM,classical,12,0.5833333333333334,0.6684027777777777,{},1.4137668999992457
46,classical/MDM,classical,13,0.6666666666666666,0.640625,{},1.4137668999992457
46,classical/MDM,classical,14,0.5208333333333334,0.5989583333333333,{},1.4137668999992457
46,classical/TS+LR,classical,0,0.7916666666666666,0.8003472222222222,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,1,0.6458333333333334,0.6770833333333333,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,2,0.7291666666666666,0.75,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,3,0.6666666666666666,0.7465277777777778,"{""clf__C"": 1.0}",13.39270039999974
46,classical/TS+LR,classical,4,0.6875,0.7690972222222222,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,5,0.6666666666666666,0.6788194444444443,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,6,0.6666666666666666,0.7847222222222222,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,7,0.6458333333333334,0.7048611111111112,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,8,0.75,0.8663194444444444,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,9,0.8125,0.8229166666666666,"{""clf__C"": 10.0}",13.39270039999974
46,classical/TS+LR,classical,10,0.7708333333333334,0.8159722222222222,"{""clf__C"": 1.0}",13.39270039999974
46,classical/TS+LR,classical,11,0.625,0.689236111111111,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,12,0.8541666666666666,0.9045138888888888,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,13,0.6458333333333334,0.751736111111111,"{""clf__C"": 0.1}",13.39270039999974
46,classical/TS+LR,classical,14,0.7083333333333334,0.7621527777777778,"{""clf__C"": 10.0}",13.39270039999974
46,classical/TS+RBF-SVM,classical,0,0.7291666666666666,0.8038194444444444,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.98026669999854
46,classical/TS+RBF-SVM,classical,1,0.625,0.6371527777777778,"{""clf__C"": 10.0, ""clf__gamma"": 0.01}",37.98026669999854
46,classical/TS+RBF-SVM,classical,2,0.6875,0.71875,"{""clf__C"": 10.0, ""clf__gamma"": 0.01}",37.98026669999854
46,classical/TS+RBF-SVM,classical,3,0.7083333333333334,0.7534722222222222,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",37.98026669999854
46,classical/TS+RBF-SVM,classical,4,0.75,0.7569444444444444,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",37.98026669999854
46,classical/TS+RBF-SVM,classical,5,0.5625,0.6041666666666666,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",37.98026669999854
46,classical/TS+RBF-SVM,classical,6,0.6875,0.7361111111111112,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.98026669999854
46,classical/TS+RBF-SVM,classical,7,0.625,0.6753472222222222,"{""clf__C"": 10.0, ""clf__gamma"": 0.01}",37.98026669999854
46,classical/TS+RBF-SVM,classical,8,0.7916666666666666,0.8211805555555556,"{""clf__C"": 10.0, ""clf__gamma"": 0.01}",37.98026669999854
46,classical/TS+RBF-SVM,classical,9,0.7916666666666666,0.8697916666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",37.98026669999854
46,classical/TS+RBF-SVM,classical,10,0.7708333333333334,0.7777777777777778,"{""clf__C"": 10.0, ""clf__gamma"": 0.01}",37.98026669999854
46,classical/TS+RBF-SVM,classical,11,0.6041666666666666,0.6545138888888888,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",37.98026669999854
46,classical/TS+RBF-SVM,classical,12,0.6666666666666666,0.7621527777777778,"{""clf__C"": 10.0, ""clf__gamma"": ""scale""}",37.98026669999854
46,classical/TS+RBF-SVM,classical,13,0.6458333333333334,0.7378472222222222,"{""clf__C"": 10.0, ""clf__gamma"": 0.01}",37.98026669999854
46,classical/TS+RBF-SVM,classical,14,0.625,0.751736111111111,"{""clf__C"": 1.0, ""clf__gamma"": ""scale""}",37.98026669999854
46,quantum/HS-overlap-SVM,quantum,0,0.6041666666666666,0.7326388888888888,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,1,0.5208333333333334,0.47222222222222227,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,2,0.625,0.6267361111111112,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,3,0.5416666666666666,0.6284722222222223,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,4,0.5833333333333334,0.6163194444444444,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,5,0.5833333333333334,0.5746527777777778,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,6,0.5,0.5381944444444444,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,7,0.4583333333333333,0.5364583333333333,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,8,0.5625,0.6579861111111112,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,9,0.5625,0.6736111111111112,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,10,0.6041666666666666,0.560763888888889,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,11,0.6458333333333334,0.6510416666666666,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,12,0.4583333333333333,0.5746527777777778,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,13,0.5208333333333334,0.6302083333333334,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/HS-overlap-SVM,quantum,14,0.5416666666666666,0.5538194444444444,"{""clf__C"": 0.1}",12.997600200000306
46,quantum/Fidelity-SVM,quantum,0,0.5,0.7309027777777778,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,1,0.5,0.5069444444444444,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,2,0.5833333333333334,0.6927083333333333,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,3,0.6041666666666666,0.6788194444444444,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,4,0.5625,0.49826388888888884,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,5,0.5,0.46354166666666674,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,6,0.5,0.5572916666666666,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,7,0.5,0.53125,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,8,0.5208333333333334,0.7152777777777778,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,9,0.5625,0.7552083333333334,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,10,0.5416666666666666,0.6388888888888888,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,11,0.6041666666666666,0.6493055555555556,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,12,0.5208333333333334,0.6163194444444444,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,13,0.5,0.6458333333333333,"{""clf__C"": 0.1}",32.432694700000866
46,quantum/Fidelity-SVM,quantum,14,0.5,0.53125,"{""clf__C"": 0.1}",32.432694700000866
