subject,pipeline,group,fold,accuracy,auc,best_params,fit_seconds_total
1,classical/logvar+LDA,classical,0,0.7931034482758621,0.9072532699167658,{},0.19594529999994847
1,classical/logvar+LDA,classical,1,0.6896551724137931,0.7621878715814506,{},0.19594529999994847
1,classical/logvar+LDA,classical,2,0.6724137931034483,0.7431629013079668,{},0.19594529999994847
1,classical/logvar+LDA,classical,3,0.7894736842105263,0.9113300492610837,{},0.19594529999994847
1,classical/logvar+LDA,classical,4,0.6666666666666666,0.7241379310344828,{},0.19594529999994847
1,classical/logvar+LDA,classical,5,0.7413793103448276,0.7883472057074911,{},0.19594529999994847
1,classical/logvar+LDA,classical,6,0.7068965517241379,0.821640903686088,{},0.19594529999994847
1,classical/logvar+LDA,classical,7,0.7413793103448276,0.7990487514863258,{},0.19594529999994847
1,classical/logvar+LDA,classical,8,0.7894736842105263,0.8793103448275862,{},0.19594529999994847
1,classical/logvar+LDA,classical,9,0.7719298245614035,0.853448275862069,{},0.19594529999994847
1,classical/logvar+LDA,classical,10,0.7241379310344828,0.8608799048751486,{},0.19594529999994847
1,classical/logvar+LDA,classical,11,0.7413793103448276,0.882282996432818,{},0.19594529999994847
1,classical/logvar+LDA,classical,12,0.6724137931034483,0.7348394768133175,{},0.19594529999994847
1,classical/logvar+LDA,classical,13,0.7543859649122807,0.768472906403941,{},0.19594529999994847
1,classical/logvar+LDA,classical,14,0.7719298245614035,0.8805418719211823,{},0.19594529999994847
1,classical/CSP+LDA,classical,0,0.8103448275862069,0.9227110582639715,"{""csp__nfilter"": 2}",17.292144899999585
1,classical/CSP+LDA,classical,1,0.8103448275862069,0.9571938168846611,"{""csp__nfilter"": 6}",17.292144899999585
1,classical/CSP+LDA,classical,2,0.8620689655172413,0.9678953626634959,"{""csp__nfilter"": 6}",17.292144899999585
1,classical/CSP+LDA,classical,3,0.9649122807017544,0.9975369458128079,"{""csp__nfilter"": 4}",17.292144899999585
1,classical/CSP+LDA,classical,4,0.7719298245614035,0.8891625615763548,"{""csp__nfilter"": 6}",17.292144899999585
1,classical/CSP+LDA,classical,5,0.8275862068965517,0.9322235434007136,"{""csp__nfilter"": 2}",17.292144899999585
1,classical/CSP+LDA,classical,6,0.8275862068965517,0.9453032104637337,"{""csp__nfilter"": 6}",17.292144899999585
1,classical/CSP+LDA,classical,7,0.8448275862068966,0.9643281807372177,"{""csp__nfilter"": 6}",17.292144899999585
