kernel,shots,reference,sensor
HS-RBF,-1,0.6272079772079772,0.5491452991452992
HS-RBF,100,0.507977207977208,0.4918803418803419
HS-RBF,1000,0.549002849002849,0.5051282051282051
HS-RBF,10000,0.5802706552706552,0.516025641025641
HS-RBF,100000,0.613960113960114,0.5389601139601139
HS-RBF,1000000,0.6195868945868946,0.5463675213675214
HS-overlap,-1,0.630982905982906,0.528062678062678
HS-overlap,100,0.5211538461538462,0.49807692307692303
HS-overlap,1000,0.5421652421652422,0.5092592592592593
HS-overlap,10000,0.5854700854700855,0.5187321937321937
HS-overlap,100000,0.6150997150997152,0.5300569800569801
HS-overlap,1000000,0.6275641025641026,0.5277065527065528
