pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
classical/TS+LR,classical,0.7631422105711276,0.1356684554786911,0.82209387916879,0.14787959236261608,9,11.927226511108326
classical/TS+RBF-SVM,classical,0.7554233604445341,0.13432899761100492,0.8108956331905203,0.1514412306027867,9,31.875076888889048
classical/CSP+LDA,classical,0.7506912235889852,0.15373398546259484,0.8084209400499531,0.1638952451273678,9,10.117304333333676
control/logeuclid-TS+LR,control,0.7505590284779637,0.13889297598326703,0.8103445130198995,0.1526474422309378,9,11.508600699999887
classical/MDM,classical,0.7226120857699806,0.1526622771417542,0.7771316585823125,0.16714114481230127,9,1.204377299997658
classical/logvar+LDA,classical,0.6971589254105891,0.13388636864534734,0.7478861144140574,0.1606277717117361,9,0.1436708222220962
control/PCA-matched-linear,control,0.6899755775133875,0.17892338223268547,0.7345418970864869,0.2080232017218625,9,11.77282592222198
control/PCA-matched-RBF,control,0.6873832089803051,0.1729455351674935,0.7290089903050664,0.20795006374645003,9,33.019514700001714
quantum/CNOT-kernel-SVM,quantum,0.6845197284398736,0.1758618683754905,0.7257881458832708,0.20934455861022674,9,37.278634366666665
control/IQP-no-entangle,control,0.6820998857296499,0.18275061238922544,0.7220510981509792,0.2151274099695645,9,35.94964051111148
quantum/IQP-kernel-SVM,quantum,0.6721449216912012,0.17167302472263404,0.7120906705924541,0.20768263145365998,9,37.98989408888802
quantum/Bures-RBF-SVM,quantum,0.6002061347493894,0.12447955821732667,0.6295925108053527,0.15452421603779185,9,73.83866958888797
quantum/QRE-RBF-SVM,quantum,0.5994532947950976,0.12350042468106016,0.6297538833210652,0.15312138743565273,9,76.93328890000015
quantum/HS-RBF-SVM,quantum,0.5951468710089399,0.12481366145752518,0.6212091614291376,0.154233883651726,9,34.211400722224624
quantum/HS-overlap-SVM,quantum,0.5862315430978468,0.10286805864727226,0.628855796513347,0.13573516218570353,9,11.6333507777777
quantum/Fidelity-SVM,quantum,0.579948914431673,0.09175936498995843,0.6163572907033072,0.1292719167668064,9,29.97463033333285
