pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
classical/CSP+LDA,classical,0.611358024691358,0.1543863292914582,0.6356666666666667,0.18548920510565559,30,1.9913907266663349
classical/TS+LR,classical,0.5945679012345678,0.17419694403690156,0.6252222222222222,0.2040146552720482,30,2.6922220199989777
classical/TS+RBF-SVM,classical,0.5898765432098766,0.16767238303905024,0.6052222222222222,0.21956362736647528,30,6.265716306664884
control/logeuclid-TS+LR,control,0.5824691358024692,0.1493372880202364,0.6110000000000001,0.1961920046331969,30,2.6464074099999078
control/PCA-matched-linear,control,0.5819753086419753,0.1560677977613208,0.5883333333333334,0.2074045965417996,30,2.408961133333408
quantum/CNOT-kernel-SVM,quantum,0.5790123456790124,0.14811089357040189,0.5931111111111111,0.18823628530653322,30,9.27224000999898
control/PCA-matched-RBF,control,0.5775308641975309,0.15302921245333245,0.5758888888888889,0.21164686002602573,30,6.641200253333469
control/IQP-no-entangle,control,0.5762962962962963,0.14670304127289654,0.5937777777777777,0.18604727560804263,30,8.25574695666728
classical/MDM,classical,0.5750617283950616,0.16060624153604156,0.5935555555555556,0.20050116009129867,30,0.23068286333339832
quantum/IQP-kernel-SVM,quantum,0.5656790123456791,0.1339207061298891,0.5877777777777777,0.16104622818231315,30,10.185611416667719
classical/logvar+LDA,classical,0.5585185185185185,0.13407767259482187,0.5854444444444444,0.16545417194512968,30,0.04555413000149808
quantum/Bures-RBF-SVM,quantum,0.5520987654320988,0.10863539590743489,0.567111111111111,0.1496809719332291,30,12.402585770001073
quantum/HS-RBF-SVM,quantum,0.5493827160493827,0.1011187284371625,0.5674444444444444,0.13613629448785425,30,5.847574689999844
quantum/HS-overlap-SVM,quantum,0.5320987654320988,0.07611699680693834,0.5778333333333333,0.12282837760398688,30,2.087154419999085
quantum/Fidelity-SVM,quantum,0.5232098765432098,0.08231279935720408,0.5571111111111111,0.13527532116378155,30,4.678175506666109
