pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
control/riemann-kernel-SVM,control,0.6356860458659559,0.15368185800738532,,,9,55.332329155555676
control/logeuclid-kernel-SVM,control,0.634653228941085,0.14620556554937747,,,9,53.8716623444442
quantum/Fidelity-ref-SVM,quantum,0.6334954744849797,0.14902068632475324,,,9,217.78562894444482
quantum/Bures-RBF-ref-SVM,quantum,0.6276944860902882,0.1528974982361448,,,9,541.7032345444445
classical/TS+LR,classical,0.6275778777278028,0.1443800304159782,,,9,47.71434447777766
quantum/QRE-RBF-ref-SVM,quantum,0.6274440557499028,0.15256030035051746,,,9,183.22291228888872
quantum/HS-overlap-ref-SVM,quantum,0.6256460658559608,0.14771599916206962,,,9,56.93719395555571
quantum/HS-RBF-ref-SVM,quantum,0.6234021877949913,0.14956662703923373,,,9,150.0233254888891
classical/TS+RBF-SVM,classical,0.6178105391748571,0.14170967576849974,,,9,135.7741983444445
control/logeuclid-TS+LR,control,0.615029707368538,0.15239304429200784,,,9,46.59289875555563
classical/CSP+LDA,classical,0.6021405963684825,0.15545137878144458,,,9,44.6996495111111
classical/MDM,classical,0.545852629240935,0.12274840015757477,,,9,5.1015831555554945
control/PCA-matched-linear,control,0.5062457660058859,0.14797984010845638,,,9,45.31895101111109
control/PCA-matched-RBF,control,0.5002815259037149,0.14909922688145805,,,9,131.73568961111192
control/IQP-no-entangle,control,0.5001404853128991,0.15294107787145997,,,9,132.52936596666606
classical/logvar+LDA,classical,0.4998778388583486,0.12750822831417413,,,9,1.0016656111111943
quantum/CNOT-kernel-SVM,quantum,0.49930756843800317,0.1539837672568628,,,9,130.81780200000017
quantum/IQP-kernel-SVM,quantum,0.4926781053917486,0.15259573895383194,,,9,135.63004045555562
quantum/QRE-RBF-SVM,quantum,0.38197068132600365,0.11165183745424834,,,9,184.46834774444443
quantum/Bures-RBF-SVM,quantum,0.380807929368649,0.11379385172670373,,,9,434.2942682666665
quantum/HS-RBF-SVM,quantum,0.37784441112776945,0.11179131781777994,,,9,136.75327536666657
quantum/HS-overlap-SVM,quantum,0.35694430562496526,0.10631370632303848,,,9,49.1378679888887
quantum/Fidelity-SVM,quantum,0.3459481370425898,0.10160532288498544,,,9,177.07654103333334
