pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
quantum/Fidelity-ref-SVM,quantum,0.7672805897246309,0.14417922665807614,0.8267334176371037,0.14936552438360717,9,45.1214675222223
control/riemann-kernel-SVM,control,0.7657211355335977,0.14016881509996296,0.8253323393038019,0.1470441084970229,9,15.696510466666647
quantum/Bures-RBF-ref-SVM,quantum,0.7649481302233874,0.14048862422378974,0.8252134332395926,0.14609789332633208,9,117.65591716666657
quantum/QRE-RBF-ref-SVM,quantum,0.7638188702919496,0.14069442048146658,0.8235673077528012,0.14970905933921672,9,54.951742322222145
classical/TS+LR,classical,0.7631422105711276,0.1356684554786911,0.82209387916879,0.14787959236261608,9,14.790573844444225
quantum/HS-RBF-ref-SVM,quantum,0.7629293540364321,0.1398468298010254,0.8229287381487144,0.1473067888059297,9,46.135077000000216
control/logeuclid-kernel-SVM,control,0.7625910241760212,0.1426928874165424,0.8203496089940798,0.15197038528457268,9,15.371701822222349
quantum/HS-overlap-ref-SVM,quantum,0.7623893706168359,0.14234127127226268,0.823887536253767,0.14911689693508484,9,16.13583948888835
classical/TS+RBF-SVM,classical,0.7554233604445341,0.1343289976110049,0.8108956331905203,0.1514412306027867,9,41.314407088888906
classical/CSP+LDA,classical,0.7506912235889852,0.15373398546259479,0.8084209400499531,0.1638952451273678,9,12.831085988888946
control/logeuclid-TS+LR,control,0.7506867423987811,0.13857661091846324,0.8104338498512101,0.15254278929591739,9,13.135982744443936
classical/MDM,classical,0.7226120857699805,0.15266227714175418,0.7771316585823125,0.16714114481230127,9,1.5475478333330304
classical/logvar+LDA,classical,0.6971589254105891,0.13388636864534728,0.7478861144140574,0.1606277717117361,9,0.1683508888889062
control/PCA-matched-linear,control,0.6899755775133875,0.17892338223268547,0.7345418970864869,0.20802320172186245,9,14.559107022222431
control/PCA-matched-RBF,control,0.6873832089803051,0.1729455351674935,0.7290089903050664,0.20795006374645,9,40.65567638888903
quantum/CNOT-kernel-SVM,quantum,0.6845197284398736,0.17586186837549048,0.7257881458832708,0.20934455861022674,9,43.95487064444418
control/IQP-no-entangle,control,0.6820998857296499,0.18275061238922544,0.7220510981509792,0.21512740996956445,9,42.94736387777761
quantum/IQP-kernel-SVM,quantum,0.6721449216912012,0.171673024722634,0.7120906705924541,0.20768263145365998,9,45.73184224444422
quantum/Bures-RBF-SVM,quantum,0.6003360892653089,0.12436114331980741,0.6299407357076798,0.15426546341976663,9,89.27575385555622
quantum/QRE-RBF-SVM,quantum,0.5994532947950976,0.12350042468106016,0.629831581199001,0.15324883738717354,9,50.42181192222243
quantum/HS-RBF-SVM,quantum,0.5951468710089399,0.12481366145752518,0.6223925598776966,0.1530330458684497,9,41.264048722222164
quantum/HS-overlap-SVM,quantum,0.5863592570186642,0.10303767487714095,0.6279695059421575,0.1366440443325074,9,14.367578955555574
quantum/Fidelity-SVM,quantum,0.579948914431673,0.09175936498995843,0.6188573064316227,0.12696935025720252,9,34.68798725555603
