pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
quantum/Fidelity-ref-SVM,quantum,0.6478258547008546,0.11683233026402441,0.6935982905982906,0.1409170657762018,52,27.957999534615407
classical/TS+LR,classical,0.6439316239316238,0.10965284043103987,0.6894627849002849,0.13321858510609502,52,11.164457221153917
quantum/HS-overlap-ref-SVM,quantum,0.6419551282051282,0.11682478342201316,0.6899282407407407,0.1377318108248078,52,11.884972157692134
quantum/QRE-RBF-ref-SVM,quantum,0.6412286324786325,0.11435875160427289,0.6832300569800569,0.1357619578732637,52,39.55750502500004
quantum/Bures-RBF-ref-SVM,quantum,0.6387927350427351,0.11448726757427508,0.6828461538461539,0.13605219315714706,52,72.54550104038468
classical/CSP+LDA,classical,0.638568376068376,0.11569169834107769,0.6771739672364673,0.14211787048519758,52,9.41847446538472
control/riemann-kernel-SVM,control,0.6378151709401709,0.11166975614427539,0.6820135327635328,0.1346085093126604,52,11.560668774999943
quantum/HS-RBF-ref-SVM,quantum,0.6370245726495726,0.11453736070607748,0.678721599002849,0.13570952391415073,52,33.314404944230894
control/logeuclid-TS+LR,control,0.6361965811965812,0.10567847072474233,0.6792449252136752,0.12966342153529173,52,9.98046524999997
control/logeuclid-kernel-SVM,control,0.6361591880341881,0.11140221562732538,0.6802165242165242,0.13464300764377815,52,11.446155605769299
classical/TS+RBF-SVM,classical,0.6309668803418803,0.11314421898387794,0.6801977386039886,0.13656121421717618,52,30.915392026923058
quantum/QRE-RBF-SVM,quantum,0.6286912393162394,0.11075591833539124,0.6682688746438747,0.13321547454554342,52,35.50682613076924
quantum/Bures-RBF-SVM,quantum,0.627142094017094,0.10945744280632992,0.6675971331908831,0.13156516848800087,52,63.25906850000004
classical/MDM,classical,0.6188728632478633,0.11225674922199304,0.6565319622507122,0.13550233877685472,52,1.1617421865384165
quantum/Fidelity-SVM,quantum,0.614599358974359,0.10978148358905783,0.6585543091168091,0.13443715617541022,52,24.36596067307692
control/PCA-matched-linear,control,0.6048878205128205,0.10873277373694525,0.6417427884615384,0.1326801387606588,52,11.126281925000004
control/PCA-matched-RBF,control,0.6031089743589744,0.107406487653754,0.6367878383190883,0.13141872801077617,52,31.067472794230873
quantum/HS-RBF-SVM,quantum,0.600357905982906,0.10048308840119882,0.6362580128205129,0.12137638962023667,52,29.351126528846198
classical/logvar+LDA,classical,0.5818696581196581,0.08100225698088906,0.6103432158119658,0.10331529735265475,52,0.11606362884617734
quantum/HS-overlap-SVM,quantum,0.5786805555555555,0.09995104216416281,0.6206444978632478,0.12011349747814933,52,10.443530967307598
control/IQP-no-entangle,control,0.5672115384615385,0.10537620874264647,0.5821883903133903,0.12717595218596442,52,33.742763326922926
quantum/CNOT-kernel-SVM,quantum,0.5669284188034188,0.10342610995230689,0.5848170405982906,0.12462935411655747,52,34.68931107884618
quantum/IQP-kernel-SVM,quantum,0.5517361111111111,0.09752465992016676,0.5626842948717948,0.11756966029501854,52,36.18676241730771
