pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
quantum/Fidelity-ref-SVM,quantum,0.6296296296296297,0.16116505020358352,0.6652222222222223,0.216157107851176,30,4.5914857533333056
control/riemann-kernel-SVM,control,0.6214814814814815,0.1715639240322012,0.6468888888888888,0.22373858126360174,30,3.218790313333337
quantum/HS-overlap-ref-SVM,quantum,0.6209876543209877,0.16415543428846988,0.6594444444444444,0.21616845165089268,30,3.336915409999968
control/logeuclid-kernel-SVM,control,0.6116049382716049,0.16580230905746754,0.6416666666666667,0.219389172922007,30,3.2223327333332916
classical/CSP+LDA,classical,0.611358024691358,0.1543863292914582,0.6356666666666667,0.18548920510565559,30,2.7740708299999977
quantum/Bures-RBF-ref-SVM,quantum,0.6106172839506173,0.16620123271149587,0.6411111111111112,0.22579163984356004,30,12.119375609999969
quantum/QRE-RBF-ref-SVM,quantum,0.6093827160493828,0.167100990306703,0.6393333333333333,0.22451889816268006,30,10.485501059999963
quantum/HS-RBF-ref-SVM,quantum,0.6064197530864198,0.16878862984247894,0.6363333333333333,0.223615964584057,30,9.266526283333336
classical/TS+LR,classical,0.5945679012345678,0.17419694403690156,0.6252222222222222,0.2040146552720482,30,3.582125393333331
classical/TS+RBF-SVM,classical,0.5898765432098766,0.16767238303905024,0.6052222222222222,0.21956362736647528,30,9.028674443333307
control/logeuclid-TS+LR,control,0.5824691358024692,0.1493372880202364,0.6110000000000001,0.1961920046331969,30,3.453315989999957
control/PCA-matched-linear,control,0.5819753086419753,0.1560677977613208,0.5883333333333334,0.2074045965417996,30,3.567497540000045
quantum/CNOT-kernel-SVM,quantum,0.5790123456790124,0.14811089357040189,0.5931111111111111,0.18823628530653322,30,13.573748963333355
control/PCA-matched-RBF,control,0.5775308641975309,0.15302921245333245,0.5758888888888889,0.21164686002602573,30,9.746856529999915
control/IQP-no-entangle,control,0.5762962962962963,0.14670304127289654,0.5937777777777777,0.18604727560804263,30,12.397864343333358
classical/MDM,classical,0.5750617283950616,0.16060624153604156,0.5935555555555556,0.20050116009129867,30,0.32902308333337565
quantum/IQP-kernel-SVM,quantum,0.5656790123456791,0.1339207061298891,0.5877777777777777,0.16104622818231315,30,14.928097820000023
quantum/QRE-RBF-SVM,quantum,0.5590123456790124,0.10758532554964516,0.5749444444444445,0.1474758784960662,30,9.092774653333246
classical/logvar+LDA,classical,0.5585185185185185,0.13407767259482187,0.5854444444444444,0.16545417194512968,30,0.13244581333340952
quantum/Bures-RBF-SVM,quantum,0.5520987654320988,0.10863539590743489,0.5655555555555556,0.1514788740965995,30,10.207320703333348
quantum/HS-RBF-SVM,quantum,0.5493827160493827,0.1011187284371625,0.5646111111111111,0.13787361871723852,30,7.64063208999991
quantum/HS-overlap-SVM,quantum,0.5320987654320988,0.07611699680693834,0.5758333333333333,0.12401547147332448,30,2.7687542433333876
quantum/Fidelity-SVM,quantum,0.5232098765432098,0.08231279935720408,0.5567222222222222,0.13538683284685188,30,3.760008473333399
