pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
quantum/Fidelity-ref-SVM,quantum,0.6133333333333333,0.16994672186885518,0.641,0.22239406191251232,30,4.485700886666639
control/riemann-kernel-SVM,control,0.6093827160493828,0.17191188158987386,0.6364444444444445,0.22325171494252063,30,3.2945333600000444
quantum/HS-overlap-ref-SVM,quantum,0.6032098765432098,0.1705500006259942,0.6396666666666667,0.21946006540259985,30,3.323162760000014
control/logeuclid-kernel-SVM,control,0.6012345679012346,0.17131818460364584,0.6314444444444445,0.22401881990817724,30,3.195863846666695
quantum/QRE-RBF-ref-SVM,quantum,0.5930864197530864,0.1699749237434942,0.6221111111111112,0.22011923507513798,30,10.594838763333337
classical/TS+LR,classical,0.5918518518518519,0.17548920722192246,0.618,0.21812436257303472,30,3.461398066666743
quantum/Bures-RBF-ref-SVM,quantum,0.5901234567901235,0.17209228494327578,0.6225555555555555,0.2166422326334565,30,12.132022643333386
classical/CSP+LDA,classical,0.5891358024691358,0.17408612043134644,0.5983333333333333,0.21069989189471464,30,2.8205623666666875
quantum/HS-RBF-ref-SVM,quantum,0.5874074074074075,0.1738078451089811,0.6231111111111112,0.21775400605265463,30,9.33089385333319
classical/TS+RBF-SVM,classical,0.5812345679012345,0.17125908838472398,0.5976666666666667,0.22255938980941056,30,9.18428443666673
quantum/IQP-kernel-SVM,quantum,0.5733333333333334,0.12014528518052306,0.5907777777777777,0.14723683148796562,30,15.098766979999846
control/PCA-matched-linear,control,0.5693827160493827,0.15616535990179153,0.5753333333333333,0.20572756601297873,30,3.5577782366667634
control/IQP-no-entangle,control,0.5693827160493827,0.14710659839761778,0.5768888888888889,0.17839414224471778,30,12.682052413333349
control/PCA-matched-RBF,control,0.568395061728395,0.1533682296077601,0.570111111111111,0.20183161931243185,30,9.970946813333375
quantum/CNOT-kernel-SVM,quantum,0.5651851851851852,0.14511779393529028,0.583,0.18320340223379675,30,13.660310486666624
control/logeuclid-TS+LR,control,0.5607407407407408,0.15442819605136712,0.5828888888888889,0.19280493255588652,30,3.1668818833332657
classical/MDM,classical,0.5585185185185185,0.16751564669546828,0.5687777777777777,0.20637443805991726,30,0.32935630666659865
quantum/Bures-RBF-SVM,quantum,0.551111111111111,0.10545142855417455,0.5521111111111111,0.1572207938957364,30,10.033245306666565
quantum/QRE-RBF-SVM,quantum,0.5474074074074073,0.1066068726971995,0.5557777777777777,0.15618029990745516,30,8.994376063333267
quantum/HS-RBF-SVM,quantum,0.5456790123456791,0.09906298303101807,0.5541666666666667,0.14748124759034487,30,7.844492780000049
classical/logvar+LDA,classical,0.5380246913580247,0.13933536863884707,0.5633333333333332,0.17120040462586913,30,0.06401760666667541
quantum/HS-overlap-SVM,quantum,0.5190123456790123,0.07894420220305047,0.5377222222222222,0.14157467150500366,30,2.787536150000096
quantum/Fidelity-SVM,quantum,0.5096296296296295,0.08406223016478441,0.5225000000000001,0.14754228564597965,30,3.825742836666556
