subject,frame,pipeline,group,accuracy,auc,best
1,sensor,classical/TS+LR,classical,0.6444444444444445,0.7608695652173914,"{""clf__C"": 0.1}"
1,sensor,classical/MDM,classical,0.5555555555555556,0.6936758893280632,{}
1,sensor,control/riemann-kernel-SVM,control,0.6,0.7845849802371542,"{""C"": 10.0}"
1,sensor,control/logeuclid-kernel-SVM,control,0.5777777777777777,0.7786561264822135,"{""C"": 10.0}"
1,sensor,quantum/HS-overlap,quantum,0.5777777777777777,0.691699604743083,"{""C"": 10.0, ""gamma_mult"": 1.0}"
1,sensor,quantum/Fidelity,quantum,0.5555555555555556,0.6106719367588933,"{""C"": 10.0, ""gamma_mult"": 1.0}"
1,sensor,quantum/HS-RBF,quantum,0.5555555555555556,0.575098814229249,"{""C"": 10.0, ""gamma_mult"": 4.0}"
1,sensor,quantum/Bures-RBF,quantum,0.6,0.6067193675889327,"{""C"": 10.0, ""gamma_mult"": 4.0}"
1,sensor,quantum/QRE-RBF,quantum,0.6222222222222222,0.6146245059288538,"{""C"": 10.0, ""gamma_mult"": 4.0}"
2,sensor,classical/TS+LR,classical,0.7333333333333333,0.8260869565217391,"{""clf__C"": 10.0}"
2,sensor,classical/MDM,classical,0.7777777777777778,0.9189723320158103,{}
2,sensor,control/riemann-kernel-SVM,control,0.6444444444444445,0.8656126482213439,"{""C"": 0.1}"
2,sensor,control/logeuclid-kernel-SVM,control,0.6666666666666666,0.8735177865612648,"{""C"": 0.1}"
2,sensor,quantum/HS-overlap,quantum,0.6,0.6126482213438735,"{""C"": 10.0, ""gamma_mult"": 1.0}"
2,sensor,quantum/Fidelity,quantum,0.6222222222222222,0.6501976284584982,"{""C"": 10.0, ""gamma_mult"": 1.0}"
2,sensor,quantum/HS-RBF,quantum,0.5111111111111111,0.6284584980237155,"{""C"": 10.0, ""gamma_mult"": 4.0}"
2,sensor,quantum/Bures-RBF,quantum,0.5333333333333333,0.6264822134387351,"{""C"": 10.0, ""gamma_mult"": 4.0}"
2,sensor,quantum/QRE-RBF,quantum,0.6,0.624505928853755,"{""C"": 10.0, ""gamma_mult"": 0.25}"
3,sensor,classical/TS+LR,classical,0.4666666666666667,0.40711462450592883,"{""clf__C"": 1.0}"
3,sensor,classical/MDM,classical,0.4888888888888889,0.4407114624505929,{}
