subject,frame,pipeline,group,accuracy,auc,best
1,sensor,classical/TS+LR,classical,0.6888888888888889,0.8339920948616601,"{""clf__C"": 10.0}"
1,sensor,classical/MDM,classical,0.5333333333333333,0.8339920948616601,{}
1,sensor,control/riemann-kernel-SVM,control,0.6444444444444445,0.8221343873517787,"{""C"": 10.0}"
1,sensor,control/logeuclid-kernel-SVM,control,0.7333333333333333,0.8023715415019763,"{""C"": 10.0}"
1,sensor,quantum/HS-overlap,quantum,0.5111111111111111,0.6462450592885376,"{""C"": 0.1, ""gamma_mult"": 1.0}"
1,sensor,quantum/Fidelity,quantum,0.5111111111111111,0.5197628458498023,"{""C"": 0.1, ""gamma_mult"": 1.0}"
1,sensor,quantum/HS-RBF,quantum,0.35555555555555557,0.29644268774703564,"{""C"": 1.0, ""gamma_mult"": 4.0}"
1,sensor,quantum/Bures-RBF,quantum,0.4,0.3300395256916996,"{""C"": 1.0, ""gamma_mult"": 4.0}"
1,sensor,quantum/QRE-RBF,quantum,0.4,0.32806324110671936,"{""C"": 1.0, ""gamma_mult"": 4.0}"
2,sensor,classical/TS+LR,classical,0.5111111111111111,0.5177865612648221,"{""clf__C"": 0.1}"
2,sensor,classical/MDM,classical,0.5111111111111111,0.6857707509881423,{}
2,sensor,control/riemann-kernel-SVM,control,0.4888888888888889,0.5592885375494071,"{""C"": 1.0}"
2,sensor,control/logeuclid-kernel-SVM,control,0.5111111111111111,0.634387351778656,"{""C"": 0.1}"
2,sensor,quantum/HS-overlap,quantum,0.5111111111111111,0.4762845849802372,"{""C"": 0.1, ""gamma_mult"": 1.0}"
2,sensor,quantum/Fidelity,quantum,0.4222222222222222,0.4604743083003953,"{""C"": 10.0, ""gamma_mult"": 1.0}"
2,sensor,quantum/HS-RBF,quantum,0.5111111111111111,0.47233201581027673,"{""C"": 0.1, ""gamma_mult"": 0.25}"
2,sensor,quantum/Bures-RBF,quantum,0.4888888888888889,0.3399209486166008,"{""C"": 10.0, ""gamma_mult"": 1.0}"
2,sensor,quantum/QRE-RBF,quantum,0.5111111111111111,0.47430830039525695,"{""C"": 0.1, ""gamma_mult"": 0.25}"
3,sensor,classical/TS+LR,classical,0.4444444444444444,0.45059288537549413,"{""clf__C"": 10.0}"
3,sensor,classical/MDM,classical,0.4222222222222222,0.4090909090909091,{}
3,sensor,control/riemann-kernel-SVM,control,0.4444444444444444,0.4426877470355731,"{""C"": 0.1}"
3,sensor,control/logeuclid-kernel-SVM,control,0.4888888888888889,0.4387351778656126,"{""C"": 0.1}"
3,sensor,quantum/HS-overlap,quantum,0.4444444444444444,0.35770750988142297,"{""C"": 10.0, ""gamma_mult"": 1.0}"
3,sensor,quantum/Fidelity,quantum,0.4,0.349802371541502,"{""C"": 10.0, ""gamma_mult"": 1.0}"
3,sensor,quantum/HS-RBF,quantum,0.4222222222222222,0.40513833992094866,"{""C"": 1.0, ""gamma_mult"": 4.0}"
3,sensor,quantum/Bures-RBF,quantum,0.4222222222222222,0.4505928853754941,"{""C"": 1.0, ""gamma_mult"": 4.0}"
3,sensor,quantum/QRE-RBF,quantum,0.4222222222222222,0.4407114624505929,"{""C"": 1.0, ""gamma_mult"": 4.0}"
4,sensor,classical/TS+LR,classical,0.4666666666666667,0.391304347826087,"{""clf__C"": 0.1}"
4,sensor,classical/MDM,classical,0.4888888888888889,0.6916996047430829,{}
4,sensor,control/riemann-kernel-SVM,control,0.4888888888888889,0.3359683794466404,"{""C"": 10.0}"
4,sensor,control/logeuclid-kernel-SVM,control,0.4888888888888889,0.39920948616600793,"{""C"": 1.0}"
4,sensor,quantum/HS-overlap,quantum,0.5111111111111111,0.5849802371541503,"{""C"": 0.1, ""gamma_mult"": 1.0}"
4,sensor,quantum/Fidelity,quantum,0.5111111111111111,0.6146245059288538,"{""C"": 0.1, ""gamma_mult"": 1.0}"
4,sensor,quantum/HS-RBF,quantum,0.5111111111111111,0.49209486166007904,"{""C"": 0.1, ""gamma_mult"": 0.25}"
4,sensor,quantum/Bures-RBF,quantum,0.5111111111111111,0.4881422924901186,"{""C"": 0.1, ""gamma_mult"": 0.25}"
4,sensor,quantum/QRE-RBF,quantum,0.5111111111111111,0.49209486166007904,"{""C"": 0.1, ""gamma_mult"": 0.25}"
5,sensor,classical/TS+LR,classical,0.4888888888888889,0.6250000000000001,"{""clf__C"": 10.0}"
5,sensor,classical/MDM,classical,0.5333333333333333,0.5099206349206349,{}
5,sensor,control/riemann-kernel-SVM,control,0.5333333333333333,0.5615079365079365,"{""C"": 0.1}"
5,sensor,control/logeuclid-kernel-SVM,control,0.4888888888888889,0.5813492063492064,"{""C"": 1.0}"
5,sensor,quantum/HS-overlap,quantum,0.4666666666666667,0.5972222222222223,"{""C"": 0.1, ""gamma_mult"": 1.0}"
5,sensor,quantum/Fidelity,quantum,0.4666666666666667,0.5972222222222223,"{""C"": 0.1, ""gamma_mult"": 1.0}"
5,sensor,quantum/HS-RBF,quantum,0.4666666666666667,0.5555555555555556,"{""C"": 0.1, ""gamma_mult"": 0.25}"
5,sensor,quantum/Bures-RBF,quantum,0.4666666666666667,0.5734126984126984,"{""C"": 0.1, ""gamma_mult"": 0.25}"
5,sensor,quantum/QRE-RBF,quantum,0.4666666666666667,0.5753968253968255,"{""C"": 0.1, ""gamma_mult"": 0.25}"
6,sensor,classical/TS+LR,classical,0.5555555555555556,0.6190476190476191,"{""clf__C"": 10.0}"
6,sensor,classical/MDM,classical,0.5555555555555556,0.5357142857142857,{}
6,sensor,control/riemann-kernel-SVM,control,0.6,0.5396825396825397,"{""C"": 0.1}"
6,sensor,control/logeuclid-kernel-SVM,control,0.5777777777777777,0.5634920634920635,"{""C"": 1.0}"
6,sensor,quantum/HS-overlap,quantum,0.5333333333333333,0.4821428571428571,"{""C"": 0.1, ""gamma_mult"": 1.0}"
6,sensor,quantum/Fidelity,quantum,0.5333333333333333,0.4861111111111111,"{""C"": 0.1, ""gamma_mult"": 1.0}"
6,sensor,quantum/HS-RBF,quantum,0.5333333333333333,0.42063492063492064,"{""C"": 0.1, ""gamma_mult"": 4.0}"
6,sensor,quantum/Bures-RBF,quantum,0.5333333333333333,0.4206349206349206,"{""C"": 0.1, ""gamma_mult"": 4.0}"
6,sensor,quantum/QRE-RBF,quantum,0.5333333333333333,0.4246031746031746,"{""C"": 0.1, ""gamma_mult"": 4.0}"
1,reference,classical/TS+LR,classical,0.8,0.8320158102766799,"{""clf__C"": 1.0}"
1,reference,classical/MDM,classical,0.7111111111111111,0.8023715415019763,{}
1,reference,control/riemann-kernel-SVM,control,0.6888888888888889,0.8260869565217391,"{""C"": 0.1}"
1,reference,control/logeuclid-kernel-SVM,control,0.6888888888888889,0.8260869565217391,"{""C"": 0.1}"
1,reference,quantum/HS-overlap,quantum,0.5111111111111111,0.8102766798418972,"{""C"": 0.1, ""gamma_mult"": 1.0}"
1,reference,quantum/Fidelity,quantum,0.6444444444444445,0.808300395256917,"{""C"": 1.0, ""gamma_mult"": 1.0}"
1,reference,quantum/HS-RBF,quantum,0.7555555555555555,0.7865612648221344,"{""C"": 1.0, ""gamma_mult"": 4.0}"
1,reference,quantum/Bures-RBF,quantum,0.7111111111111111,0.7865612648221344,"{""C"": 1.0, ""gamma_mult"": 4.0}"
1,reference,quantum/QRE-RBF,quantum,0.7111111111111111,0.7924901185770751,"{""C"": 1.0, ""gamma_mult"": 4.0}"
2,reference,classical/TS+LR,classical,0.5555555555555556,0.5770750988142292,"{""clf__C"": 0.1}"
2,reference,classical/MDM,classical,0.6666666666666666,0.6363636363636364,{}
2,reference,control/riemann-kernel-SVM,control,0.6222222222222222,0.6047430830039526,"{""C"": 1.0}"
2,reference,control/logeuclid-kernel-SVM,control,0.6222222222222222,0.6047430830039526,"{""C"": 1.0}"
2,reference,quantum/HS-overlap,quantum,0.5111111111111111,0.5158102766798418,"{""C"": 10.0, ""gamma_mult"": 1.0}"
2,reference,quantum/Fidelity,quantum,0.6222222222222222,0.5968379446640316,"{""C"": 10.0, ""gamma_mult"": 1.0}"
2,reference,quantum/HS-RBF,quantum,0.6222222222222222,0.6027667984189724,"{""C"": 10.0, ""gamma_mult"": 0.25}"
2,reference,quantum/Bures-RBF,quantum,0.6666666666666666,0.683794466403162,"{""C"": 1.0, ""gamma_mult"": 4.0}"
2,reference,quantum/QRE-RBF,quantum,0.6666666666666666,0.683794466403162,"{""C"": 1.0, ""gamma_mult"": 4.0}"
3,reference,classical/TS+LR,classical,0.4444444444444444,0.4901185770750988,"{""clf__C"": 0.1}"
3,reference,classical/MDM,classical,0.4666666666666667,0.40118577075098816,{}
3,reference,control/riemann-kernel-SVM,control,0.4888888888888889,0.4189723320158103,"{""C"": 0.1}"
3,reference,control/logeuclid-kernel-SVM,control,0.4888888888888889,0.4189723320158103,"{""C"": 0.1}"
3,reference,quantum/HS-overlap,quantum,0.4444444444444444,0.4189723320158103,"{""C"": 10.0, ""gamma_mult"": 1.0}"
3,reference,quantum/Fidelity,quantum,0.4444444444444444,0.42292490118577075,"{""C"": 10.0, ""gamma_mult"": 1.0}"
3,reference,quantum/HS-RBF,quantum,0.4666666666666667,0.40711462450592883,"{""C"": 1.0, ""gamma_mult"": 0.25}"
3,reference,quantum/Bures-RBF,quantum,0.4666666666666667,0.4209486166007905,"{""C"": 1.0, ""gamma_mult"": 0.25}"
3,reference,quantum/QRE-RBF,quantum,0.4888888888888889,0.4209486166007905,"{""C"": 1.0, ""gamma_mult"": 0.25}"
4,reference,classical/TS+LR,classical,0.5111111111111111,0.4347826086956522,"{""clf__C"": 10.0}"
4,reference,classical/MDM,classical,0.6,0.6679841897233202,{}
4,reference,control/riemann-kernel-SVM,control,0.4888888888888889,0.4486166007905138,"{""C"": 10.0}"
4,reference,control/logeuclid-kernel-SVM,control,0.4888888888888889,0.4486166007905138,"{""C"": 10.0}"
4,reference,quantum/HS-overlap,quantum,0.5111111111111111,0.5395256916996047,"{""C"": 10.0, ""gamma_mult"": 1.0}"
4,reference,quantum/Fidelity,quantum,0.5111111111111111,0.5138339920948617,"{""C"": 10.0, ""gamma_mult"": 1.0}"
4,reference,quantum/HS-RBF,quantum,0.5777777777777777,0.5296442687747036,"{""C"": 10.0, ""gamma_mult"": 4.0}"
4,reference,quantum/Bures-RBF,quantum,0.5111111111111111,0.5158102766798419,"{""C"": 10.0, ""gamma_mult"": 4.0}"
4,reference,quantum/QRE-RBF,quantum,0.5555555555555556,0.5316205533596838,"{""C"": 1.0, ""gamma_mult"": 4.0}"
5,reference,classical/TS+LR,classical,0.5555555555555556,0.6369047619047619,"{""clf__C"": 10.0}"
5,reference,classical/MDM,classical,0.5111111111111111,0.5238095238095238,{}
5,reference,control/riemann-kernel-SVM,control,0.5333333333333333,0.5813492063492064,"{""C"": 10.0}"
5,reference,control/logeuclid-kernel-SVM,control,0.5333333333333333,0.5813492063492064,"{""C"": 10.0}"
5,reference,quantum/HS-overlap,quantum,0.4888888888888889,0.5912698412698413,"{""C"": 1.0, ""gamma_mult"": 1.0}"
5,reference,quantum/Fidelity,quantum,0.5555555555555556,0.621031746031746,"{""C"": 10.0, ""gamma_mult"": 1.0}"
5,reference,quantum/HS-RBF,quantum,0.5111111111111111,0.5059523809523809,"{""C"": 10.0, ""gamma_mult"": 4.0}"
5,reference,quantum/Bures-RBF,quantum,0.5555555555555556,0.5575396825396826,"{""C"": 1.0, ""gamma_mult"": 4.0}"
5,reference,quantum/QRE-RBF,quantum,0.5555555555555556,0.5555555555555556,"{""C"": 1.0, ""gamma_mult"": 4.0}"
6,reference,classical/TS+LR,classical,0.5333333333333333,0.5952380952380952,"{""clf__C"": 0.1}"
6,reference,classical/MDM,classical,0.4888888888888889,0.5198412698412699,{}
6,reference,control/riemann-kernel-SVM,control,0.4888888888888889,0.5833333333333333,"{""C"": 1.0}"
6,reference,control/logeuclid-kernel-SVM,control,0.4888888888888889,0.5833333333333333,"{""C"": 1.0}"
6,reference,quantum/HS-overlap,quantum,0.5555555555555556,0.6051587301587301,"{""C"": 1.0, ""gamma_mult"": 1.0}"
6,reference,quantum/Fidelity,quantum,0.5777777777777777,0.5952380952380952,"{""C"": 10.0, ""gamma_mult"": 1.0}"
6,reference,quantum/HS-RBF,quantum,0.5333333333333333,0.46428571428571425,"{""C"": 10.0, ""gamma_mult"": 4.0}"
6,reference,quantum/Bures-RBF,quantum,0.5111111111111111,0.47420634920634924,"{""C"": 1.0, ""gamma_mult"": 4.0}"
6,reference,quantum/QRE-RBF,quantum,0.5111111111111111,0.4722222222222223,"{""C"": 1.0, ""gamma_mult"": 4.0}"
